,Unnamed: 0,Sentence,Schema,Schema Slot,Negative Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12
1087,1087,You've been taught to worship democracy.,04 Power and Control: God,God,Legit,democracy,,worship,democracy,Democracy,worship,A God,1522660,,
1113,1113,We are not taking your sacred guns away just trying to find away to keep AK-47's and AR-15's out of the hands of crazy fools.,04 Power and Control: God,Legit,Experiment,guns,,sacred,guns,Guns,sacred,A God,2121669,,
1118,1118,I first bumped-into the internet gun cult in 1994 on USENET in talk.politics.guns.,04 Power and Control: God,Worshipper,Criminal,the internet gun cult,* cult,cult,gun,Guns,cult,A God,,,
985,985,"In 1962 â€“ prior to Lyndon Johnson's War on Poverty â€“ The ""Gray Areas Project"" was the first attempt to combat poverty across America.",03 Conflict,Side,Entity Age,poverty,,combat,poverty,Poverty,combat,War,2673820,,
1393,1393,"Steve B says: July 3, 2013 at 11:07 am West Virginia’s Senator Joe Manchin is a gun control pimp flying under a false flag.",06 Morality and Justice,Crime,Weather Type,pimp,,pimp,gun control,Control of Guns,pimp,Crime,2377028,,
1172,1172,Does my industry think guns sell movies?,05 Engineering and Business: Business,Business,Posture,guns,,sell,guns,Guns,sell,Business,3123907,,
331,331,"Wealth Management is the process of growing and preserving an individual's wealth and assets, as well as establishing a plan for the seamless transfer of those assets to beneficiaries.",01 Health and Safety,Threatened,Extractor,wealth,,preserving,wealth,Wealth,preserving,Physical Harm,628600,,
1042,1042,"Yesterday, Mom's Demand Action and Everytown for Gun Safety, the conjoined gun control cult bought and paid for by the miniature billionaire, claimed that there have [...]",04 Power and Control: God,God,Movement,gun control,,cult,gun control,Control of Guns,cult,A God,3710125,,
1477,1477,In 1960 Kennedy won the presidency by Chicago Mayor Daley (and fellow Irish Catholic) stealing the election for him in Illinois and moving a rogressiveagenda into the White House.,06 Morality and Justice,Property,Flowing,election,,stealing,election,Elections,stealing,Theft,2659101,,
621,621,"The 2004 election season was a quiet one for most state governors; only 11 states had gubernatorial contests, and of those 11, a mere seven featured incumbents running on Election Day.",03 Conflict,Conflict,Destination,election,,season,election,Elections,season,Game,2453315,,
1432,1432,"When government robs capital from investors in the form of high taxes, it takes away the money that creates jobs.",06 Morality and Justice,Criminal,Enemy,government,,robs,government,Government,robs,Crime/Theft,761822,,
1386,1386,Gun control is a crime.,06 Morality and Justice,Crime,God,Gun control,,crime,Gun control,Control of Guns,crime,Crime,2377035,,
1421,1421,"Steve B says: July 3, 2013 at 11:07 am West Virginia’s Senator Joe Manchin is a gun control pimp flying under a false flag.",06 Morality and Justice,Criminal,Legit,Senator Joe Manchin,[criminal] is a * pimp,is a gun control pimp,gun control,Control of Guns,pimp,Crime,2377028,,
1488,1488,» You elected nothing since you stole the 2000 and 2004 elections... Posted by: chief of okeefe,06 Morality and Justice,Property,Experiment,elections,,stole,elections,Elections,stole,Theft,2091260,,
1753,1753,Melinda Herman has now become a new face of gun rights amid the dramatic story of her defending herself and two children with a six-shot revolver.,14 Embodied Experience: Human Body,Body Part,Level,Melinda Herman,[body part] has * become * face,face,gun rights,Gun Rights,face,Human Body,2377567,,
157,157,Let's remember the ultimate reason gun control is evil,01 Health and Safety,Threat,Legit,gun control,,evil,gun control,Control of Guns,evil,Monster,3123504,,
1204,1204,We were also told that the conference should produce some extra money that had to be payed to IEEE.,05 Engineering and Business: Business,Product,Cold,money,,produce,money,Wealth,produce,Factory,2837233,,
1369,1369,We know that this democracy disintegrated following the rise of capitalist trade and monarchical absolutism.,05 Engineering and Business: Resource,Resource,Servant,democracy,,disintegrated,democracy,Democracy,disintegrated,Physical Harm,3036759,,
1327,1327,"In a four-trillion-dollar annual budget, a few million dollars here and there to lubricate the gears of Congress seems like a very small price to pay if it would create a more productive legislative body.",05 Engineering and Business: Engineering,Facilitator,Hot,a few million dollars,,lubricate,Congress,Government,lubricate,Machine,761379,,
441,441,Because of me six more people are active in gun rights advancement and each of them invite people to go to the range with us; we have one or two new shooters each time.,02 Journey,Agent,Conflict,gun rights,,advancement,gun rights,Gun Rights,advancement,Forward Movement,2377385,,
812,812,Gun control will never be defeated until gun control and it supporters are driven out to sea.,03 Conflict,Loser,Light Level,Gun control,,defeated,Gun control,Control of Guns,defeated,Competition/Struggle,2891471,,
1260,1260,"Several events dealt with themes such as: debt relief, the fight against hunger and disease, strengthening democracy and reconciling economy and ecology.",05 Engineering and Business: Engineering,Built,Worshipper,democracy,,strengthening,democracy,Democracy,strengthening,Building/Strength,1888608,,
1529,1529,"This is yet another reason why ""stupid people don't get to vote"" is a pointless idea; it robs democracy of its legitimacy.",06 Morality and Justice,Victim,Beneficial Plant,democracy,,robs,democracy,Democracy,robs,Theft,761691,,
