Sentence,Source CM
Odinga had accused the government of President Mwai Kibaki of stealing last year's presidential elections.,Theft
Protecting Taxpayers,Protection
"Kinda like how I don't oppose ""democracy"" per se, I just oppose what people from the last 20 years have turned democracy into.",Struggle
"Last, if this Court says it's permissible for big business to purchase democracy, then the Constitution provides the remedy of a constitutional amendment.",Resource
America isn't doing enough in the eyes of gun control.,Human Body
"alone, regardless of viewership, is enough to create this deliberate democracy?Is Baym too optimistic in making a claim about the role that these programs serve to facilitate democratic discourse?",Building
Gun bans kill kids,Physical Harm
"Countries will also need to address the likely loss of revenue from liberalization through reforms to their tax systems that broaden and deepen domestic consumption taxation, including introducing a VAT where feasible.",Resource
AT&T agrees to help fight childhood hunger,Struggle/War
"At the ripe old age of 18, their ""good boy"" has accumulated two armed robbery charges yet they blame others for his actions - obviously he was raised well, but the evil gun made him do bad things.",Monster
We should not all be this eager to hang our gun rights hat on this story.,Clothing
We have been fighting the gun control battle for 80 years.,Struggle/War
Poverty is the mother of crime.,Family
The smooth flow of international trade is critical to the functioning of the modern food industry.,Body of Water/Movement
He attacked the government of Juan MartÃ_n de PueyrredÃ_n and was banished (1817).,Struggle/War
Killing Poverty Has the corruption in Kenya lessened under its new president?,Physical Harm
The CDC was producing bogus research to promote and advance gun control with out evidence of pubic safety being increased with public money.,Forward Movement
The battle of government agencies continues in San Mateo between the City and the San Mateo Union High School District about the cost of using each others' fields.,War
"As I remember, despite the American Rifleman having a monthly feature ""A Court Case of Consequence,"" to my memory during the '60s the NRA provided relatively little, and mostly mild, commentary on the developing gun control battle.",Struggle/War
Riley said accommodations taxes relieve local taxpayers of paying the costs of accommodating visitors.,Physical Burden
There are many proven strategies to guard your wealth against the devastation of taxation.,Natural Physical Force
"[But not] all the instruments of Delaware's rapacity take the form of meddlesome, high-handed government exacting inflated costs on out-of-state visitors.",Forceful Extraction
The Death Tax is killing American family business,Physical Harm
Our culture is one that worships poverty and crime.,A God
You are willing to give away your rights and not fight gun control.,Struggle/War
"When approaching the legislature for funding, we are more likely to receive aid if we are at the peak of taxation.",High Location
Why was it necessary to develop this new committee?,Resource
How does marriage inequality hurt you or your family or your lesbian older sister or your gay best friend or your grandchild?,Physical Harm
"In the past two years, we successfully challenged anti-voter laws in Florida, Ohio, and Washington.",Competition
An Axis victory in Europe and Asia would threaten democracy in North America.,Physical Harm
"With the decision, CT advocates have dodged a bullet that many feared could have killed the promising new field of cardiac imaging with CT. (AuntMinnie.com)",Physical Harm/War
What might harm our gun rights is this recent insistance on felons etc being able to buy firearms.,Physical Harm
"Optimists hailed a region-wide birth of democracy, as though the Middle East and North Africa were following the path blazed in Eastern Europe during the anti-communist revolutions of 1989.",Life Stage
"When this is the case, the government can provide that service instead by being a monopoly that can attain savings by using economies of scale.",Business
The opposition Movement for Democratic Change is divided over whether to fight Senate elections on 26 November amid wide-ranging political realignments.,Struggle
He uses the mask of gun rights to intermingle in support of freaky far-right goon causes.,Clothing
"There's a way to be progressive about our gun rights but saying gun oppression should be equalized with ethnic oppression is uncalled for, especially given the two are apples and oranges anyway.",Enslavement
Then the sales tax would generate $12 billion in annual tax revenues.,Machine
"When horrible killings take place, gun control rockets up on the public agenda, Spitzer said.",Upward Movement
changing face of hunger,Human Body
"It also seems absurd that they might work to stop a confiscation effort before it got started, since the only sentiment I've ever heard expressed here or elsewhere is ""gun control loses elections"".",Game
You've been taught to worship democracy.,A God
The church needs to clean up it's own closet AND backyard and fully remain OUT of the gun control business!!!,Business
"Benazir Bhutto may have been killed by terrorists, but the terrorists must not be allowed to kill democracy in Pakistan, said British Prime Minister Gordon Brown.",Animal
"Democracy hasn't saved many of these counties, so why must the United States continue to persist in democracy domination of the world?",Enslavement/Leader
"The intent of this program is to remove the struggle of bureaucracy, Clewer said.",Struggle
Gun control reduces deaths from firearms.,Downward Movement/Physical Burden
Another: Nobody who accepts gun control will fight gun control.,Struggle
"While it is true that wealth is a blessing from God, poverty should not be seen conversely as God's disfavor because, in a sense, poverty relieves the individual from tremendous responsibility.",Physical Burden
But the guns are winning.,Competition
"The 2011 Civic Mission of Schools report, ""The Guardian of Democracy,"" raises major concern surrounding diminished civic learning in the United States and outlines six proven practices that can help restore the civic mission of schools.",Protection
"So what is your problem and all this waffle, deflection and avoidance, gun control makes the specific claim gun control will reduce crime, the supply of guns to criminals and increase public safety.",Downward Movement
"And as democracy advances in the region, a international group of leading Muslim scholars is leading an effort to define an Islamic basis for citizenship and the rights of minorities.",Forward Movement/Journey
Obama is making twitter a leading battlefront in the war of gun control as this is the sort of thing that the media understands and follows.,War
"This is purposeful and dangerous reportage, misleading at best and designed to make the unthinking demand gun control escalation.",Upward Movement
"If, like Utah, you?re on the lucky side of the pork trough, democracy tastes pretty sweet.",Food
The current lead dog in the Gun Control race is Comprehensive (Universal) Background Checks Registration.,Competition
"In addition to democracy, safeguarded constitution, there should also be separation of powers.",Protection
"No word yet as to how Feinstein is dealing with the fact that gun violence will be helping her hobble along on the same exact gun control path that paved the way for Adolf Hitler to murder millions of innocent, disarmed citizens.",Pathway
It was also bestowed on the libraries; then our divine city council pawned them off.,A God
he research suggests that we can no longer take for granted that that growing inequality is a necessary evil for a better economy.,Monster
But several of them want to characterize that as a disintegration of bureaucracy.,Physical Harm
Some anonymous gun-rights activists commissioned a couple of roadside billboards in Greeley to make a dramatic point about the current epidemic of gun control fever brought to its ultimate extreme.,Disease
"Prohibition didn't end alcohol addiction in the 1920s, and gun laws won't end gun addiction in our time.",Addiction
"For some, the news was received as the liberation of the Legislature:",Confinement
The government of Iraq today has advanced from the Hussein dictatorship and its partial democracy is one desirable development.,Forward Movement
"Two years later, Samaha has become a prominent and vocal opponent of guns on college campuses.",Competition
"As can be seen by the horrendous event in Virginia, ""gun control kills"".",Crime/Physical Harm
Because the â€˜fed' is funding the spending addiction of the government.,Addiction
Erekat: Israeli bullets are killing the peace process Palestinian negotiator Saeb Erekaton has accused Israel of burying the peace process after it escalated military operations in the Gaza Strip and killed over 500 Palestinians.,Physical Harm
Poverty destroys because it is invisible.,Natural Physical Force/Physical Harm
"Similar to armed forces recruiting efforts, government agencies compete with one another to attract top talent. government organizations that specialize in scientific research have to compete with private companies to recruit PhD graduates.",Competition
"By the way... let me tell you just a bit about why I'm so attached to my ""sacred guns"".... 1.",A God
"It doesn't glorify guns at all, but it at least makes kids think about how they would react should they ever come across one.",A God
The CDC was producing bogus research to promote and advance gun control with out evidence of pubic safety being increased with public money.,Forward Movement
"Gun control supported him and every advocate in the world had 43:1 on his lips, firmly believing that firearm owners were in a conspiracy to deny the evidence.",Building
"The group, the best-known defender of gun rights in America, scheduled a news conference for Friday.....<snip> I don't believe the NRA.",Protection
"The treaties have been approved by the Senate, and Congress has given the agencies regulatory authority; so without any oversight the federal bureaucracy advances the global agenda.",Forward Movement
"In these ways, AIDS reinforces gender inequities, deepens household poverty and threatens future generations (2004 Report on the Global AIDS Epidemic, UNAIDS).",Abyss
Bureaucracy manufactures regulations.,Factory
"I know this still will not be enough to satisfy a belief and demand the failed gun control experiment be tried once more, in the non-existent hopes it will work this time.",Science
Is U.S. Democracy A Failed Experiment?,Science
WDR 2000/2001: Attacking Poverty,Struggle/War
This would remove a mountain of taxation from the shoulders of labor.,Hazardous Geographic Feature
Gun control is treason.,Crime
Only time will be able to tell as the election races to an end.,Competition
"Then wealth recedes and feelgood evaporates and the Fed has to get back to ""supporting"".",Backward Movement
"Follow the story of Virginia Assembly member John Frye (played by the young Jack Lord) during the crucial period when the colonists resisted British taxation without representation, met force with force and chose revolution.",Struggle
These actions caused the NRA and gun owners to get political and counterattack the Dem schemes the Dem solution changed to punishing the pro gun groups who funneled lots of money to pro gun (usually GOP) candidates. that is why we conservatives have become more active in defending gun rights-because Dem assholes in office wanted to rape our rights to stave off attacks that Dems are weak on dealing with violent street crime,Protection/Struggle
"When the United States arrives at the ""new level"" of democratic nationhood, the stream drains into a vast democratic ocean in which individual atoms may be vibrating, but no movement, let alone direction, is discernable.",Body of Water
Troy and I are asking if you will help us tackle poverty this Lent by joining the Fellowship of Orthodox Christians United to Serve (FOCUS) North America.,Game
He is working with CIRA on a statewide effort to attack poverty with sustainability initiatives.,War
Paul Polakfounder of Colorado-based non-profit International Development Enterprises (IDE)is dedicated to developing practical solutions that attack poverty at its roots.,Struggle/War
Perhaps 5â€“10% of firearms trafficking operations involve illegal sales knowingly made by a retail licensee.,Machine
"He attacks corporations, he attacks those who've worked hard to accumulate wealth for their families (good for them!), he attacks the banking industry, he attacks taxpayers by raising taxes.",War
Thomas defended voluntary poverty as good because it frees people from vices related to wealth.,Protection
Both of them assumed more guns would increase violence and changed their minds upon viewing their own data.,Upward Movement
"Your implication will be that guns are evil and have no place in society, much less in our schools.",Monster
Imagine that a person who has surrendered actually thinks he is fighting gun control.,Struggle/War
"As government agencies generate more electronic data than ever, IT managers are under pressure to resume operations quickly in the event of disruptions.",Energy/Machine
Poverty is destroying lives and communities.,Physical Harm
They are the ditch carp in the great river of democracy.,Body of Water
"Sure pro-gun legislation is great for gun owners, but it doesn't do much to reach out and let people know all about our cause; which is the advancement of gun rights.",Forward Movement
"John G. Kester, a Washington lawyer and former Defense Department official, says in jest that Congress ''overdosed on due process'' when it passed the Administrative Procedure Act.",Addiction
"But see Harvey P. Dale, Foreign Charities, 48 TAX LAW. 655, 660â€“61 (1995) (arguing that none of the tax benefits conferred to charities was ever predicated on a theory of government burden relief).",Physical Burden
"I think when they have to make a compromise.,. I think they would sell our gun rights down the river... especially Mccain.",Resource
"China's industrial production for October rose by 15.7 percent, lower than 16.1 percent in September, data from the State Information Center. Now Chinese government is cooling the overly fast growing economy, and the falling of industrial production can ease the worry about the speedup of economic growth, expressed Michael Spencer, chief economist at Deutsche Bank Hong Kong branch. If the to-be-announced economic statistics show a slowed economic growth as the industrial production does, the central bank will unlikely raise the interest rates recently, concludedsome analysts.",Temperature
"They criticise the movement on the grounds that, ""There is no discussion of even the possibility of founding powerful new political parties, fighting elections, winning office and forming governments with a mandate for fundamental economic and social change "" (p.106).",War
"Our children have been the collateral damage of bureaucracy, neglect and social engineering.",Physical Harm
I have a right to defend my gun rights and will to the end.,Protection
"In this case, surgeon general pick will attack guns under the guise of a public health and safety campaign is indeed correct.",War
"In a four-trillion-dollar annual budget, a few million dollars here and there to lubricate the gears of Congress seems like a very small price to pay if it would create a more productive legislative body.",Machine
"The Liberal party is still fighting the last election, maybe even the election before that.",Struggle
The narrative in the media seems to be that gun control actually won the midterms.,Competition
"Finally, poverty, various forms of exploitation, child abuse and trauma rob many children and youth of the quality of life envisioned in the Convention on the Rights of the Child.",Crime/Theft
Firearm organisations provably have absolutely no idea of how to fight gun control and show no sign of figuring it out even if told.,Struggle
"Sweep out the old, then when the fresh rain of democracy came, a whole new country would spring up, like mushrooms.",Natural Physical Force
Odinga had accused the government of President Mwai Kibaki of stealing last year's Presidential elections.,Crime/Theft
Do you think the taxpayer is best served?,Servant
"The collapse of the Mobutu dictatorship led to a collision between two forms of opposition to Mobutu, the internal opposition exemplified by Tshisekedi, committed to non-violent direct action, and the armed opposition, based abroad, exemplified by Kabila.",Building
I would not amend that great shield of democracy to hammer a few miscreants.'',Protection
Don't let democracy win!,Competition/Game
"If you put 10% down and finance the rest at an 8% interest on top of that, your [[wealth]] will <<melt>> at a rate of 17.2% per year (10% depreciation + 8% interest on 90% of the purchase price).",Body of Water/Energy
Now an anti-gun activist writes a letter in the tone that Joe wrote to express his sympathy for the father but goes on to defend a no guns policy.,Struggle
A subcommission of the United Nations Human Rights Council (HRC) has declared that there is no human right to personal self-defense and that extremely strict gun control is a human right which all governments are required to enforce immediately.,A Right
Distance and Open Learning systems facilitate the transborder flow of education and educational opportunities.,Body of Water/Movement
"[But] I am very concerned that this so-called revolution of democracy and equality is actually creating cultural anarchy and punishing people with real talent.""",Struggle/War
"When we conquer a foreign land, our appointed governor cannot simply plant democracy in the tread of his boots.",Crop/Plant
Your generous contributions go directly to the front lines of the gun rights fight.,Struggle
It's a damn shame that Jeb Bush and his concubine Katherine Harris stole the election from Al Gore.,Theft
"The American gun owner will surely endure Draconian gun laws and confiscations, the ATF will get more funding and the anti-gun bigots will continue to dance in the blood of gun control victims.",Crime
They come to Kansas City to work together to develop skills essential in overcoming poverty in their communities.,Struggle
"Maybe taxes relieve us of paying tolls on every road, but they are an inconvenience.",Physical Burden
America isn't doing enough in the eyes of gun control.,Human Body
"So as he flounders in the sea of gun control, and watches over a security apparatus that ought to have prevented the Bostom Bombings, he might look upon Syria as a chance to change hats to Horatio Hornblower.",Body of Water
"Israeli Ambassador to the U.S. Daniel Ayalon told CNN Thursday night that Israel's attacks are intended to ""de-fang the Hezbollah so that they will not have the capabilities to launch their rockets ... and hopefully this will strengthen the Lebanese government so that they will exercise their sovereignty"" in the south of the country, where Hezbollah is virtually autonomous.",Building/Strength
Bad government is a punishment for rebellion in the heart of the people of that nation.,Crime
"Our position is (that) President Yanukovych needs to lead his country into a new future, and he needs to do so through the vehicle of a new government, change to the constitution and the political order.",Machine/Vehicle
"House votes to extend plastic gun ban After Newtown, focus of U.S. gun control battle shifts to states WASHINGTON (Reuters) - In the year since the massacre of 26 schoolchildren and adults in Newtown, Connecticut, efforts to pass gun legislation have stalled in the U.S. Congress but shifted to the states, helped by the deep pockets of outgoing New York Mayor Michael Bloomberg.",War
UK Government Is Warming to Nuclear Power,Temperature
"The Corporation awards grants totaling approximately $80 million a year in the areas of education, international peace and security, international development and strengthening U.S. democracy.",Building/Strength
the fact that two of the most anti gun turds in congress are pushing for this ALONE proves what the purpose is. to advance gun control,Forward Movement
It also witnessed the evolution of the Senate from agent of compromise to an elite club of powerful committee chairmen.,Animal/Plant/Science
"CUSIB pretends to be an opponent of bureaucracy, yet it supports leaving the largest U.S. international broadcasting bureaucracy of all, the Voice of America, unaltered.",Competition
"Courtney has also worked on The Empty Bowl Project - which provides monetary support for food banks, soup kitchens, and other organizations that fight hunger.",Struggle
"The collapse of the Mobutu dictatorship led to a collision between two forms of opposition to Mobutu, the internal opposition exemplified by Tshisekedi, committed to non-violent direct action, and the armed opposition, based abroad, exemplified by Kabila.",Building
"Such is the downright satanic power of the gun cult in this country, however, that Martinez may as well never have spoken.",A God
"On the other side of the paradox, more people keeping and bearing arms means there's a larger constituency to fight new gun control, so I'm not certain it really helps our opponents any.",Struggle
"Democracy competes not against them, but against this consensual authoritarianism.",Competition/Game
No gun control rights.,A Right
"Sure, but I don't think that he stole the election from my guy with some huge conspiracy!",Theft
"Together, you and I CAN defeat the Internet sales tax, but you must take action now!",Game/Struggle
"If you believe that gun control is a failed experiment, then you believe the experiment should be ended.",Science
"If they could ever make a gun pill , all pregnant women should take it so that they can conceive a self armed baby.",Medicine
Gun rights don't trump overall liberty.,Game
"Democracy is not a god, democracy is a vehicle, a system, a possibility, and just like any structure, it has its dark side too, as we say in Arabic: ""adimoukratiyya laha anyab"", in this case, it becomes a god that devours his children !",A God
Has the NRA organised and helped members gain strength in opposing gun control?,Struggle
"Gun control addicts don't foresee that if firearms are completely banned, only criminals will have them.",Addiction
"But to the extent that government performs its limited social function that of protecting society from external enemies and maintaining internal peace and order by eliminating social predators the cost of supporting government workers can be born out of the increased productivity that a limited, well-run government will generate.",Energy/Machine
Money$kills Camp,Physical Harm
We are always pleased to show our clients the progress of their guns.,Forward Movement
This rate is an individual's tax floor.,Building
Concentrated wealth threatens democracy.,Physical Harm
"Firstly, the loss of elections in Gagauzia does not imminently attract a major danger for quality of CPRM as dominant party in the Republic of Moldova.",Competition/Game
"Behind this shield of wealth, there are not very many obstacles or threats of damage to overcome.",Protection
I suspect most of them don't even believe the bovine droppings they proffer but they feel a need to attack gun ownership for reasons that have nothing to do with a desire to decrease crime,Struggle/War
"What will it take for Congress to strengthen gun control, not loosen the restrictions?",Building/Strength
Most experts believe that increased criminal penalties of the kind proposed in the federal law could help play a role in stanching the flow of guns from traffickers to criminals.,Body of Water/Movement
It is not for me to glorify poverty and condemn affluence.,A God
My concern is that if the US continues on the big government trajectory many will go outside the US to create their wealth.,Movement
"How can local governments and civil-society organizations effectively fight poverty and promote social responsibility in countries as diverse as Canada, China and Ghana?",Struggle
Do we not belong to the restaurant of Democracy?,Business
"That may also be termed an 'IRG-failure,' the failure of the Internationally Recognised Government of the given state.",Competition
"However, guns destroy the natural order of things.",Physical Harm
This money would increase revenues for fire protection and law enforcement.,Upward Movement
AT&T agrees to help fight childhood hunger,Struggle
What might harm our gun rights is this recent insistance on felons etc being able to buy firearms.,Physical Harm
"Edited by Ron Sider and Heidi Unruh, they take us deep into the world of children and youth who are suffering the ravaging abuse of poverty.",Crime/Physical Harm
"As the GOP stands tall as the guardian of taxation for the nation's wealthy and guardian for corporate America, the party sacrifices programs that in the long run will help to make America strong and less dependent globally.",Protection
"The organization says the housing agency needs to allocate low-income tax credits in a way that helps to dilute poverty, instead of concentrating it.",Resource
"The Money and the Power asks, in fact, whether the ""national surrender of democracy to oligarchy--the submission to house rules, as they might put it on the Strip""--has gone on too long to be reversed.",Struggle/War
Has the NRA organised and helped members gain strength in opposing gun control?,Struggle
"Guns prevent crime, guns assist crime, guns cause accidental deaths, guns turn minor disagreement into a deadly encounters.",Servant
"Heck, you might even get some gun control relief down the line...",Physical Burden
"A trust (or trusts) can help reduce your overall estate-tax burden, often while achieving other goals as well.",Physical Burden
Just about every society has devients whether they have guns or not...a Rapist will rape...imagine if you will your daugher and mine walking home late one night...a van pulls along side and your daughter screams as the man drags her inside...my daughter pulls a piece and defends herself...gun control robs us of the ability to protect ourselves.,Theft
I first bumped-into the internet gun cult in 1994 on USENET in talk.politics.guns.,A God
"But in the meantime our ""house of gun rights"" is on fire and at some point will burn down.",Building
For those who think high taxes cure pothole problems I have one word -- Omaha.,Disease
Stealing the Election!,Theft
"The same government is now addicted to the tax revenue collected from real killer drugs, alcohol and cigarettes.",Addiction
"Is it the mainstream left media (like Piers Morgan) who keeps spewing on about ""evil"" guns?",Monster
"Regardless, if I grow 10 tomatos, and you only grow 2, I have created more wealth than you have.",Building
Civil nations must unanimously oppose a rough nation whose President openly declares his intention to destroy the only democracy of Middle East.,Natural Physical Force
I don't believe that elections are God.,A God
Trying to discuss the issue with the gun cult is pointless.,A God
The basis under which Congress propagates copyright law is laid out in the U.S. Constitution which gives Congress the authority:,Crop/Plant
"Locally, Miguel P. Garcia seems to have taken up the torch of gun control with the introduction of HB77.",Fire
This strategy is the chief reason America has moved quickly down the gun control path in the last decade.,Journey
"And this awakening could well be supported by a force of protest that has now somewhat waned but remains latent, that of the Venezuelan students who played a crucial role in defeating a 2007 referendum that would have openly converted Venezuela to the Cuban model of government.",Struggle
An invasion of wealth may not suit their interests.,War
In a world where poverty competes with corruption for tax-payer and gambler (lotto's) money there are innocent victims caught in the cross-fire.,Competition
A Democracy steals freedom from its citizens.,Crime/Theft
The National coordination of other state Guard units was CRIMINAL in it's worship of red tape above cooperation in a crisis situation.,A God
"Tweet During her Thursday press conference, House Minority Leader Nancy Pelosi said that Wednesday's sweeping gun control defeat in the Democrat-controlled  Senate is a setback, but not the end, of Democrats' gun control efforts.",Struggle
Why do people think Texas is the pinnacle of gun rights?,High Location
"As mentioned earlier, we can see selling of illegal drugs as an answer to the conflict of poverty for young black men.",Struggle
Another: Nobody who accepts gun control will fight gun control.,Struggle
"This, fellow Americans, was the Roar of Democracy, the Voice of Freedom, the Will of the People and the Soul of the Country.",Animal
This has gone through the heart of the bureaucracy and emerged as policy.,Human Body
All of us must demand better from those who carry the gun rights torch.,Fire
"A more detailed description of the way in which government manipulates the money supply, with its knock-on effects on nominal interest rates [**] can be seen at the supply of money and how governments manipulate interest rates.",Human Body
Has Inflation Hurt the Poor?,Physical Harm
"To steal the recent rhetoric of insane ultraconservative Sharron Angle, I think we need a Second Amendment remedy.",Medicine
"The National Academy of Education recommends two initiatives that should be part of a national effort: (1) State and federal governments should increase investment in early education programs and make oral language development a primary focus of preschool and (2) English language learners should get targeted, conceptually rich language instruction starting in preschool and continuing until students are fully proficient in English.",Upward Movement/Movement
We are not taking your sacred guns away just trying to find away to keep AK-47's and AR-15's out of the hands of crazy fools.,A God
An analysis conducted in September for FRAC by Peter D. Hart Associates and McLaughlin & Associates showing that Americans believe the nation's officeholders need to do more to combat hunger.,War
"The Liberal party is still fighting the last election, maybe even the election before that.",Struggle
Orville also wrote his wife that he hoped hostilities between nations cease forever and democracy heals the mental scars of war.,Medicine
"Cyclists carried banners with slogans like ""Money Kills"" as they cycled slowly into the city center, bringing traffic around the imposing Bank of England to a standstill.",Crime/Physical Harm
"God help this nation if the Conservatives get a majority, it's clear they'd abuse Canadian democracy even more.",Physical Harm
"Poverty and food security are heterogeneous phenomena in most countries; types and <<depth>> of [[poverty]], measured in different ways, vary between and within countries and regions.",Abyss
The have legitimate members who have been fighting for gun rights across the nation.,Struggle
"The whole point of the story is to illustrate how gun control cripples the law abiding citizen. he wasn't showing off or anything, as 2 guns is NOT a 'whole arsenal'.",Disease
"Garland, TX: Do you think that Liberal Democracy is the apex of the world's governments?",High Location
The Senate is a bulwark against an avalanche of really extreme legislation.,Protection
"He commented further, ""When basic needs are provided by the government, democracy evaporates.""",Body of Water
"When the United States arrives at the ""new level"" of democratic nationhood, the stream drains into a vast democratic ocean in which individual atoms may be vibrating, but no movement, let alone direction, is discernable.",Body of Water
"Even as democracy claws its way into the kingdoms and autocracies of the Old World, the reality for us here in Mooresville is an economic one.",Animal
Trying to discuss the issue with the gun cult is pointless.,A God
It may have not but in the case up here in Seattle everyone knew the gunman was a crzy nut including His family.I say that if the mental health sysyem would have acted and at least made it impossible for Him to buy guns the shooting may not have happened.If we stop just one mass killing it would be worth it it change the law and you cowboys could still but your sacred guns unless you where crazy.,A God
They are not organised to fight gun control or protect their rights.,Struggle/War
"...s by Jacques-Louis David (1787) Socrates. Many are familiar with the name, but do we know the man? He is considered to be the father of democracy and a pivotal character of Western civilisation, but it may equally be that he was largely an invention by Plato.",Family
Kill KC's proposed extra trash tax,Physical Harm
He couches L'Enfant's plan as a victory of the legislature over the presidency by symbolically placing the CB at the center of the plan.,Competition/Game/Struggle
People like Rebecca Peters see this as a golden opportunity becasue they know that people who accept gun control are not going to fight gun control or be motivated to even object.,Struggle
"The Department of Child & Family Studies, in partnership with Florida KIDS COUNT which disseminates national, statewide and county-level data on key indicators for Florida's children, reached out to Children's Services Councils and various state partners to find out what is being done in their communities to support the growing number of children and families caught in the poverty battle.",War
It's the rape of poverty.,Crime/Physical Harm
Now you are defending Felon's gun rights?,Struggle
"It doesn't glorify guns at all, but it at least makes kids think about how they would react should they ever come across one.",A God
Jihadi wave tests Tunisia's young democracy,Life Stage
