,Unnamed: 0.1,Unnamed: 0,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12,phrase_1,phrase_2,xAttr,xEffect,xIntent,xNeed,xReact,xReason,xWant
14,14,1002,"Welcome to the world of government/military procurement and specifications - bureaucracy wins over performance, price and value every time.",03 Conflict,Winner,bureaucracy,,wins,bureaucracy,Bureaucracy,wins,Competition/Game,3119442.0,,,wins over,wins over,"[[' friendly', ' persuasive', ' confident']]","[[' PersonX gets a new friend.', ' PersonX gets a new friend', ' PersonX gets a new job.']]","[[' to be liked', ' to be popular', ' none']]","[[' none', ' to talk to someone', ' to talk to people']]","[[' happy', ' good about themselves', ' good about themselves.']]","[[' PersonX goes on a date with PersonY.', ' PersonX goes on a date with PersonY', ' PersonX goes on a date with the girl.']]","[[' to make a new friend', ' to be a good friend', ' to be a good person']]"
15,15,701,I'm going to let you in on a little secret: I'm an opponent of gun control.,03 Conflict,Enemy,gun control,,opponent,gun control,Control of Guns,opponent,Competition/Struggle,2669239.0,,,opponent of,opponent of,"[[' aggressive', ' mean', ' determined']]","[[' PersonX loses the game', ' PersonX loses the game.', ' PersonX loses the match.']]","[[' to win', ' to win the game', ' to win the match']]","[[' none', ' to know the opponent', ' to be in a match']]","[[' defeated', ' like a winner', ' like a winner.']]","[[' PersonX wants to win the game', ' PersonX wants to win', ' PersonX wins the game']]","[[' to win', ' to win the game', ' to win the match']]"
16,16,156,"It is a government-induced poverty pill, which we all shall soon be forced to swallow by force of law.",01 Health and Safety,Threat,poverty,,pill,poverty,Poverty,pill,Medicine,2378310.0,,,,,"[[' responsible', ' sickly', ' sick']]","[[' PersonX takes the pill.', ' PersonX takes the pill', ' PersonX takes a pill.']]","[[' to feel better', ' to be healthy', ' to get better']]","[[' to take the pill', ' none', ' to get the pill']]","[[' relieved', ' happy', ' satisfied']]","[[' PersonX takes a pill', ' PersonX takes the pill', ' PersonX takes a pill to feel better']]","[[' to feel better', ' to take a nap', ' to take a shower']]"
17,17,1312,Actually the gun lobby supports the gun business pure and simple.,05 Engineering and Business: Engineering,Component,gun lobby,,supports,gun lobby,Gun Rights,supports,Building,2713991.0,,,supports the,supports the,"[[' caring', ' supportive', ' responsible']]","[[' none', ' PersonX gets a raise.', ' PersonX gets a raise']]","[[' to be a good person', ' to be a good person.', ' to be a good citizen']]","[[' none', ' to know what they believe in', ' to know what they believe']]","[[' happy', ' proud', ' good']]","[[' PersonX wants to be a good person.', ' PersonX wants to be a good person', ' PersonX wants to be a good citizen.']]","[[' to be a good person', ' to be a good citizen', ' to be a leader']]"
18,18,524,Taxes Advanced,02 Journey,Change,Taxes,,Advanced,Taxes,Taxation,Advanced,Forward Movement,2532205.0,,,Advanced,Advanced,"[[' skilled', ' smart', ' intelligent']]","[[' gains knowledge', ' PersonX gains knowledge', ' PersonX gets a promotion']]","[[' to be the best', ' to be the best.', ' to be the best at something']]","[[' none', ' to study hard', ' to learn the material']]","[[' accomplished', ' proud', ' happy']]","[[' PersonX takes a test', ' PersonX takes the test', ' PersonX studies for the test']]","[[' to get a good grade', ' to get a promotion', ' to get a good job']]"
19,19,305,"- Obama is continuing the process of transforming America into something that resembles Nazi Germany, with forced National Service, domestic civilian spies, warrantless wiretaps, the destruction of the Second Amendment, and Martial Law.",01 Health and Safety,Threatened,Second Amendment,,destruction,Second Amendment,Gun Rights,destruction,Natural Physical Force/Physical Harm,3766376.0,,,destruction of,destruction of,"[[' destructive', ' violent', ' mean']]","[[' gets arrested', ' PersonX gets arrested.', ' PersonX gets arrested']]","[[' to destroy something', ' to be destructive', ' to destroy something.']]","[[' none', ' to have something to destroy', ' to have a weapon']]","[[' powerful', ' sad', ' angry']]","[[' PersonX wants to destroy the world', ' PersonX destroys the house', ' PersonX wants to destroy everything']]","[[' to get revenge', ' to get revenge on someone', ' to get a new house']]"
20,20,422,"They attack ""rich people"" while enjoying all the spoils of their luck, I have zero problems with earned wealth, but these clowns literally lucked out in life.",01 Health and Safety,Threatened,rich people,,attack,rich people,Wealth,attack,War,2110177.0,,,"attack ""rich","attack ""rich","[[' violent', ' aggressive', ' mean']]","[[' gets arrested', ' PersonX gets arrested.', ' PersonX gets arrested']]","[[' to get rich', ' to hurt someone', ' to be rich']]","[[' none', ' to find the rich', ' to have a plan']]","[[' angry', ' powerful', ' guilty']]","[[' PersonX is angry at the rich', ' PersonX is a criminal', ' PersonX sees a rich person']]","[[' to kill the rich', ' to get revenge', ' to get rich']]"
21,21,494,"Yes, being poor is a burden upon humanity in my opinion and it effects all of us.",02 Journey,Barrier,being poor,,burden,being poor,Poverty,burden,Physical Burden,2378407.0,,,burden upon,burden upon,"[[' burdened', ' burdening', ' needy']]","[[' none', ' PersonX is burdened', ' PersonX is burdened.']]","[[' none', ' to be helpful', ' to be responsible']]","[[' none', ' to have something to burden upon', ' to have something to burden']]","[[' burdened', ' burdened.', ' sad']]","[[' PersonX is a burden on PersonY', ' PersonX is a burden on PersonY.', ' PersonX is a burden to others.']]","[[' to be helpful', "" to make sure they don't go to jail"", "" to make sure they don't get hurt""]]"
22,22,1498,Democracy is a punishment for not having popular enough western leaning leaders.,06 Morality and Justice,Punishment,Democracy,,punishment,Democracy,Democracy,punishment,Crime,164139.0,,,punishment for,punishment for,"[[' mean', ' punished', ' cruel']]","[[' PersonX is punished.', ' PersonX is punished', ' PersonX gets punished.']]","[[' to punish someone', ' to punish', ' to be punished']]","[[' none', ' to have done something wrong', ' to do something wrong']]","[[' guilty', ' ashamed', ' sad']]","[[' PersonX breaks the law', ' PersonX breaks the rules', ' PersonX gets caught cheating']]","[[' to get out of trouble', ' to get out of the situation', ' to get out of jail']]"
23,23,1719,The indiosyncracy of the Govt. made it sure that the revolution did not spread to the masses and companies continue to invest in the hope that the dark clouds of regulation would give way to bright sunshine some day.,13 Nature: Weather,Weather,regulation,dark clouds of [weather],dark clouds of,regulation,Bureaucracy,dark clouds,Darkness,762280.0,,,dark clouds of [weather],dark clouds of weather,"[[' scared', ' dark', ' sad']]","[[' none', ' PersonX sweats from nervousness', ' PersonX sweats from nervousness.']]","[[' none', ' to be gloomy', ' to make a statement']]","[[' none', ' to look at the sky', ' to look at the weather forecast']]","[[' sad', ' scared', ' worried']]","[[' PersonX looks at the sky', ' PersonX looks at the weather forecast', ' PersonX looks at the weather report']]","[[' to get out of the weather', ' to get out of the rain', ' to get out of the rain.']]"
24,24,1537,"If you believe that gun control is a failed experiment, then you believe the experiment should be ended.",07 Systematic Explanations,Failed Experiment,gun control,[failed experiment] is a failed experiment,failed experiment,gun control,Control of Guns,experiment,Science,,,,[failed experiment] is a failed experiment,failed experiment is a failed experiment,"[[' frustrated', ' unsuccessful', ' careless']]","[[' PersonX fails the experiment.', ' PersonX fails the experiment', ' none']]","[[' none', ' to be successful', ' to try something new']]","[[' none', ' to have tried something', ' to do something wrong']]","[[' sad', ' disappointed', ' frustrated']]","[[' PersonX is too smart to fail.', ' PersonX is too smart.', ' PersonX is a genius.']]","[[' to try again', ' to try something else', ' to learn from the failure']]"
25,25,612,"Firstly, the loss of elections in Gagauzia does not imminently attract a major danger for quality of CPRM as dominant party in the Republic of Moldova.",03 Conflict,Conflict,elections,,loss,elections,Elections,loss,Competition/Game,2661651.0,,,loss of,loss of,"[[' sad', ' lost', ' depressed']]","[[' PersonX cries', ' PersonX cries.', ' none']]","[[' none', ' to be alone', ' to be happy']]","[[' none', ' to have lost something', ' to lose something']]","[[' sad', ' sad.', ' upset']]","[[' PersonX loses their job', ' PersonX loses their job.', ' PersonX loses the lottery ticket']]","[[' to get a new job', ' to find a new job', ' to find a solution']]"
26,26,35,The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.,01 Health and Safety,Protection,democracy,,cure,democracy,Democracy,cure,Disease/Medicine,163975.0,,,cure for,cure for,"[[' helpful', ' smart', ' intelligent']]","[[' none', ' PersonX cures the disease.', ' PersonX is cured.']]","[[' to be helpful', ' to be a doctor', ' to help people']]","[[' none', ' to find a cure', ' to have a cure']]","[[' relieved', ' happy', ' good']]","[[' PersonX is a doctor', ' PersonX cures a disease', ' PersonX is a scientist']]","[[' to cure more diseases', ' to cure more people', ' to cure others']]"
27,27,1679,The Turk and Mongol invaders found and easily robbed the mountains of wealth heaped in Hindu temples and it is little wonder that they had so little difficulty in conquering a spiritual country that had lost its material strength.,12 High and Low,Scale,wealth,,mountains,wealth,Wealth,mountains,Hazardous Geographic Feature,3041549.0,,,mountains of,mountains of,"[[' strong', ' capable', ' determined']]","[[' none', ' PersonX is exhausted', ' gets tired']]","[[' none', ' to be a mountain climber', ' to have a lot of things']]","[[' none', ' to have a mountain to climb', ' to have mountains to climb']]","[[' happy', ' satisfied', ' proud']]","[[' PersonX climbs a mountain', ' PersonX builds a mountain', ' PersonX builds a mountain house']]","[[' to take a nap', ' to take a shower', ' to take a break']]"
28,28,743,"President Obama, a well-known opponent of guns, told The Daily Skid, ""I am just about sick and tired of people walking around shooting at people willy-nilly.",03 Conflict,Enemy,guns,,opponent,guns,Guns,opponent,Struggle,2378712.0,,,opponent of,opponent of,"[[' aggressive', ' mean', ' determined']]","[[' PersonX loses the game', ' PersonX loses the game.', ' PersonX loses the match.']]","[[' to win', ' to win the game', ' to win the match']]","[[' none', ' to know the opponent', ' to be in a match']]","[[' defeated', ' like a winner', ' like a winner.']]","[[' PersonX wants to win the game', ' PersonX wants to win', ' PersonX wins the game']]","[[' to win', ' to win the game', ' to win the match']]"
29,29,336,"By attacking the economic wealth generated by Ireland for Britain and the large Protestant landowners of Ireland, the Land League achieved victory where previous campaigns for rights in Ireland had failed.",01 Health and Safety,Threatened,wealth,,attacking,wealth,Wealth,attacking,Physical Harm/Struggle/War,118314.0,,,attacking the,attacking the,"[[' violent', ' aggressive', ' mean']]","[[' gets arrested', ' gets injured', ' PersonX gets injured']]","[[' to hurt someone', ' to get revenge', ' to hurt them']]","[[' to have a weapon', ' to get a weapon', ' none']]","[[' angry', ' powerful', ' satisfied']]","[[' PersonX is in a wheelchair.', ' PersonX is in prison.', ' PersonX is in jail.']]","[[' to run away', ' to get away from the situation', ' to run away from the scene']]"
30,30,662,"[But] I am very concerned that this so-called revolution of democracy and equality is actually creating cultural anarchy and punishing people with real talent.""",03 Conflict,Conflict,democracy,,revolution,democracy,Democracy,revolution,Struggle/War,761351.0,,,revolution of,revolution of,"[[' revolutionary', ' powerful', ' brave']]","[[' PersonX wins the revolution.', ' PersonX wins the revolution', ' PersonX wins the election.']]","[[' to change the world', ' to be a leader', ' to change the world.']]","[[' none', ' to make a plan', ' to have a plan']]","[[' powerful', ' happy', ' proud']]","[[' PersonX wants to change the world', ' PersonX is a revolutionary', ' PersonX wants to be a leader']]","[[' to be a leader', ' to win the war', ' to win the revolution']]"
31,31,310,Courting LBA political money by presidential candidates requires a willful disregard of the systemic degradation of representative democracy.,01 Health and Safety,Threatened,representative democracy,,degradation,representative democracy,Democracy,degradation,Physical Harm,1787299.0,,,degradation of,degradation of,"[[' ungrateful', ' unkind', ' mean']]","[[' none', ' PersonX sweats from nervousness', ' PersonX sweats from nervousness.']]","[[' none', ' to be degraded', ' to be mean']]","[[' none', ' to be in a bad situation', ' to be in a relationship with someone']]","[[' sad', ' ashamed', ' bad']]","[[' PersonX is a good person', ' PersonX is a good person.', ' PersonX is a thief']]","[[' to get a new job', ' to get revenge', ' to get better']]"
32,32,1290,"The only thing that has shaped gun rights or gun restrictions, has been state and local laws through our jurisprudence.",05 Engineering and Business: Engineering,Built,gun rights,,shaped,gun rights,Gun Rights,shaped,Shape,3123825.0,,,shaped gun,shaped gun,"[[' crafty', ' creative', ' skilled']]","[[' PersonX shoots the gun.', ' PersonX shoots the gun', ' PersonX shoots a gun.']]","[[' to make a weapon', ' to be creative', ' to make a gun']]","[[' to have a gun', ' to get a gun', ' to make a gun']]","[[' happy', ' satisfied', ' proud']]","[[' PersonX builds a gun', ' PersonX builds a gun out of wood', ' PersonX wants to make a gun']]","[[' to shoot the gun', ' to shoot it', ' to make a weapon']]"
33,33,1576,Poverty is the mother of crime.,10 Human Life Cycle and Family Relations,Child,crime,mother of [child],mother of,Poverty,Poverty,mother,Family,2669217.0,,,mother of [child],mother of child,"[[' maternal', ' responsible', ' loving']]","[[' PersonX has a child.', ' PersonX has a baby.', ' PersonX becomes a mother.']]","[[' to be a mother', ' to have a child', ' to be a good mother']]","[[' to get pregnant', ' to have sex', ' to be pregnant']]","[[' happy', ' happy.', ' excited']]","[[' PersonX gives birth to a baby', ' PersonX is pregnant', ' PersonX gives birth to a child']]","[[' to take care of the child', ' to take care of the baby', ' to take care of their child']]"
34,34,246,"Also, the living Constitution threatens the rights of the minority.",01 Health and Safety,Threat,Constitution,,threatens,Constitution,Government,threatens,Physical Harm,1973593.0,,,threatens the,threatens the,"[[' threatening', ' aggressive', ' mean']]","[[' PersonX gets arrested.', ' gets arrested', ' PersonX threatens the person.']]","[[' to get their way', ' to hurt someone', ' to be in control']]","[[' none', ' to have something to threaten', ' to have a weapon']]","[[' powerful', ' angry', ' powerful.']]","[[' PersonX is a bully.', ' PersonX has a gun.', ' PersonX is a bully']]","[[' to get away from the situation', ' to get their way', ' to get away with it']]"
35,35,250,"More productive pursuits become the casualties of taxation, which then reinforces the bias in favour of land speculation.",01 Health and Safety,Threat,taxation,,casualties,taxation,Taxation,casualties,Physical Harm/War,159631.0,,,casualties of,casualties of,"[[' careless', ' unlucky', ' sad']]","[[' none', ' PersonX dies', ' PersonX dies.']]","[[' none', ' to be dead', ' to be safe']]","[[' none', ' to be in a war', ' to have been in a war']]","[[' sad', ' hurt', ' sad.']]","[[' PersonX goes to war', ' PersonX is in a war', ' PersonX goes to the war']]","[[' to go to the hospital', ' to get back to work', ' to go to the doctor']]"
36,36,1341,"Poverty engenders a social environment characterized by hopelessness and disenfranchisement, leading to substance abuse and violence.",05 Engineering and Business: Resource,Extractor,Poverty,,engenders,Poverty,Poverty,engenders,Animal,159011.0,,,engenders a,engenders a,"[[' responsible', ' helpful', ' talented']]","[[' none', ' PersonX gets a promotion.', ' PersonX gets a promotion']]","[[' none', ' to be a good person', ' to be a good person.']]","[[' none', ' to make a plan', ' to have a plan']]","[[' happy', ' satisfied', ' happy.']]","[[' PersonX makes a new friend', ' PersonX creates a new family', ' PersonX is a good person']]","[[' to be a good parent', ' to be successful', ' to be a good person']]"
37,37,1240,"By combining sound economics with measures designed to strengthen democracy, equalize opportunity, enhance national security, protect human rights and foster competitiveness, we advocate policies designed to improve life for all of our citizens and ensure the long-term health of our environment.",05 Engineering and Business: Engineering,Built,democracy,,strengthen,democracy,Democracy,strengthen,Building/Strength,2668241.0,,,"strengthen democracy,","strengthen democracy,","[[' responsible', ' helpful', ' influential']]","[[' PersonX makes a difference', ' PersonX is elected president.', ' PersonX makes a difference.']]","[[' to be a leader', ' to be a good person', ' to be a good leader']]","[[' none', ' to be a leader', ' to understand democracy']]","[[' proud', ' happy', ' good']]","[[' PersonX wants to change the world', ' PersonX wants to be a leader', ' PersonX wants to be a good leader']]","[[' to be a leader', ' to be a role model', ' to be a good leader']]"
38,38,1586,"In Ethiopia, democracy is in its infancy and it must be nurtured along by its leaders.",10 Human Life Cycle and Family Relations,Entity,democracy,[entity] is in its infancy,infancy,democracy,Democracy,infancy,Life Stage,,,,[entity] is in its infancy,entity is in its infancy,"[[' immature', ' infantile', ' young']]","[[' none', ' PersonX is a baby.', ' PersonX is born.']]","[[' none', ' to start a new life', ' to start a new life.']]","[[' none', ' to be born', ' to be a child']]","[[' like a child', ' like a child.', ' like they are a child']]","[[' PersonX is a baby', ' PersonX has a baby', ' PersonX creates a new entity']]","[[' to grow up', ' to grow', ' to start a business']]"
39,39,1086,"Yet such is the power of democracy worship, this secular religion, to blind people to the evidence of their own eyes that virtually every Western leader favored one-man, one-vote democracy in Rhodesia.",04 Power and Control: God,God,democracy,,worship,democracy,Democracy,worship,A God,761396.0,,,,,"[[' religious', ' spiritual', ' devout']]","[[' none', ' PersonX worships God.', ' PersonX worships God']]","[[' to be a good person', ' none', ' to be religious']]","[[' none', ' to go to church', ' to go to the church']]","[[' worshipful', ' happy', ' satisfied']]","[[' PersonX goes to church', ' PersonX goes to church every day', ' PersonX goes to church every Sunday']]","[[' to go to church', ' to be a good person', ' to pray']]"
40,40,1074,It may have not but in the case up here in Seattle everyone knew the gunman was a crzy nut including His family.I say that if the mental health sysyem would have acted and at least made it impossible for Him to buy guns the shooting may not have happened.If we stop just one mass killing it would be worth it it change the law and you cowboys could still but your sacred guns unless you where crazy.,04 Power and Control: God,God,guns,,sacred,guns,Guns,sacred,A God,2121284.0,,,sacred guns,sacred guns,"[[' brave', ' religious', ' violent']]","[[' none', ' PersonX shoots the gun.', ' PersonX shoots the gun']]","[[' none', ' to protect themselves', ' to protect himself']]","[[' none', ' to buy a gun', ' to get a gun']]","[[' powerful', ' proud', ' happy']]","[[' PersonX wants to be a police officer.', ' PersonX wants to protect their family.', ' PersonX wants to protect their family']]","[[' to protect themselves', ' to show off their guns', ' to protect their family']]"
41,41,138,Poverty Alleviation,01 Health and Safety,Threat,poverty,,alleviation,Poverty,Poverty,Alleviation,Disease/Medicine,2646956.0,,,Alleviation,Alleviation,"[[' helpful', ' determined', ' healthy']]","[[' PersonX gets better', ' PersonX gets better.', ' none']]","[[' to be healthy', ' to feel better', ' to get better']]","[[' none', ' to have a problem', ' to have a medical problem']]","[[' relieved', ' happy', ' relieved.']]","[[' PersonX has a broken leg', ' PersonX is sick', ' PersonX has a heart attack']]","[[' to get better', ' to go to the doctor', ' to go to a doctor']]"
42,42,51,Elbadawi and Sambanis (2000) have showed how democracy alleviates civil war.,01 Health and Safety,Protection,democracy,,alleviates,democracy,Democracy,alleviates,Medicine,1971995.0,,,alleviates civil,alleviates civil,"[[' helpful', ' responsible', ' kind']]","[[' none', ' PersonX is thanked', ' PersonX makes a difference']]","[[' to be helpful', ' to be a good person', ' to be nice']]","[[' none', ' to understand the situation', ' to be a civil person']]","[[' good', ' relieved', ' happy']]","[[' PersonX wants to be a good person', ' PersonX wants to be a good citizen', ' PersonX wants to be a better person']]","[[' to be a good person', ' to make sure everyone is safe', ' to help others']]"
