,Sentence,metaphore,target_domain,source_domain,highlighted_aspect,PartOf,Causes,IsA,DefinedAs
10,"History has demonstrated that citizens in most places most of the time are generally averse to conflicts with long-term costs, and that democracy restrains aggressive rulers.",restrains,Democracy,Confinement/Physical Harm,Threat,"[' none', ' people are more peaceful', ' people are peaceful']","[' peaceful', ' history', ' history books']","[' people to be safe', ' people to be peaceful', ' history']","[' history has shown that democracy is a good thing', ' history has shown that democracy is a good thing.', ' history has shown that democracy is a bad thing']"
11,"Until last week, in spite of rhetoric stating that one of its principal goals in Colombia is to protect democracy, Washington had remained conspicuously silent regarding the recent anti-democratic maneuvers perpetrated by Colombia's hardliners.",protect,Democracy,Protection,Threatened,"[' none', ' the US government to stop supporting the hardliners', ' the US government to stop supporting the hardliners.']","[' until recently, the United States has not spoken up.', ' until recently, the United States has not spoken out.', ' until recently, the United States has been silent.']","[' the US to be a good friend of the people of the country', ' the US to be a good friend of the people of Colombia', ' the US to be a good friend of the people of the country.']","[' none', ' they get arrested', ' to be a leader']"
12,"Like the Founders and the Framers and lots of other intelligent folks, however, I recognize that an unconstrained 'democracy"" harbors within it the seeds of some serious problems.",harbors,Democracy,Physical Harm/Protection,Threat,"[' none', ' like the idea of freedom', ' like the idea of democracy']","[' likeable', ' like a good leader', ' like a leader']","[' like a good leader', ' like a good person', ' like the idea of freedom']","[' none', ' like the idea', ' like to be free']"
13,FRAC (www.frac.org) is the leading national organization working for more effective public and private policies to eradicate domestic hunger and undernutrition.,eradicate,Poverty,Disease,Enemy,"[' eat healthy food', ' eat healthy', ' eat less']","[' hungry', ' responsible', ' helpful']","[' good about themselves', ' good for the environment', ' fed up']","[' eat healthy food', ' eat healthy', ' eat healthy foods']"
14,"Welcome to the world of government/military procurement and specifications - bureaucracy wins over performance, price and value every time.",wins,Bureaucracy,Competition/Game,Winner,"[' none', ' get a job done', ' get a new job']","[' happy to be a part of the process', ' happy to be a part of it', ' happy to be a part of the process.']","[' get the job done', ' get the job done faster', ' get a job done']","[' make sure they get what they want', ' make sure they get the job done', ' make sure they get the job done right']"
15,I'm going to let you in on a little secret: I'm an opponent of gun control.,opponent,Control of Guns,Competition/Struggle,Enemy,"[' get arrested', ' gun control', ' get shot']","[' I am a pacifist.', ' I am a gun owner.', ' I am a gun control advocate.']","[' I am a pacifist.', ' I am a gun owner.', "" I'm a gun owner.""]","[' gun control', ' gun violence', ' gun control laws']"
16,"It is a government-induced poverty pill, which we all shall soon be forced to swallow by force of law.",pill,Poverty,Medicine,Threat,"[' none', ' get a new job', ' get a job']","[' it is not a choice', ' it is illegal to do so', ' it is illegal to do it']","[' it is illegal to be poor', ' it is illegal to do it', ' it is illegal to do so']","[' none', ' it is illegal', ' it is a law']"
17,Actually the gun lobby supports the gun business pure and simple.,supports,Gun Rights,Building,Component,"[' none', ' gun control', ' gun control laws']","[' The gun lobby is a fraud.', ' The gun lobby is not a business.', ' The gun lobby is not a good business.']","[' gun control', ' gun rights', ' gun control laws']","[' none', ' gun control', ' gun control laws']"
18,Taxes Advanced,Advanced,Taxation,Forward Movement,Change,"[' pay more taxes', ' pay taxes', ' pay more money']","[' pay more taxes', ' pay taxes', ' pay taxes on time']","[' pay more taxes', ' pay taxes', ' pay taxes on time']","[' pay taxes', ' tax return', ' tax code']"
19,"- Obama is continuing the process of transforming America into something that resembles Nazi Germany, with forced National Service, domestic civilian spies, warrantless wiretaps, the destruction of the Second Amendment, and Martial Law.",destruction,Gun Rights,Natural Physical Force/Physical Harm,Threatened,"[' none', ' they get arrested', ' get arrested for treason']","[' the government to be in charge', ' the government to be in control', ' the government to be in power']","[' the government to be in charge', ' the government to be in control', ' the government to be in power']","[' they get arrested', ' none', ' get arrested for treason']"
20,"They attack ""rich people"" while enjoying all the spoils of their luck, I have zero problems with earned wealth, but these clowns literally lucked out in life.",attack,Wealth,War,Threatened,"[' none', ' get rich', ' they get rich']","[' lucky', ' rich', ' wealthy']","[' they have a lot of money', ' they have a lot of free time', ' they have a lot of money to spend']","[' they have a lot of money', ' none', ' they get a lot of money']"
21,"Yes, being poor is a burden upon humanity in my opinion and it effects all of us.",burden,Poverty,Physical Burden,Barrier,"[' none', ' have less money', ' have to pay rent']","[' none', ' poor', ' poor people']","[' none', ' poor', ' poverty']","[' none', ' get a new job', ' get a job']"
22,Democracy is a punishment for not having popular enough western leaning leaders.,punishment,Democracy,Crime,Punishment,"[' none', ' have less power', ' have less money']","[' democracy is not a good thing', ' democracy is not a good idea', ' none']","[' none', ' democracy is not a good thing', ' democracy is not a good idea']","[' none', ' have less power', ' have less money']"
23,The indiosyncracy of the Govt. made it sure that the revolution did not spread to the masses and companies continue to invest in the hope that the dark clouds of regulation would give way to bright sunshine some day.,dark clouds,Bureaucracy,Darkness,Weather,"[' none', ' the people to be safe', ' the government to be in charge']","[' the government to be in charge', ' the people to be safe', ' the government to be in control']","[' the people to be safe', ' the government to be in charge', ' the government to be in control']","[' none', ' the people to be safe', ' make sure the people are safe']"
24,"If you believe that gun control is a failed experiment, then you believe the experiment should be ended.",experiment,Control of Guns,Science,Failed Experiment,"[' none', ' have a better life', ' have less money']","[' gun control is a failed experiment', ' gun control is a failed experiment.', ' gun control is a failure']","[' gun control', ' gun violence', ' none']","[' gun control', ' none', ' gun violence']"
25,"Firstly, the loss of elections in Gagauzia does not imminently attract a major danger for quality of CPRM as dominant party in the Republic of Moldova.",loss,Elections,Competition/Game,Conflict,"[' none', ' get a new job', ' lose the election']","[' none', ' no effect', ' win or lose']","[' none', ' get a new job', ' get a new leader']","[' none', ' win the election', ' win or lose']"
26,The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.,cure,Democracy,Disease/Medicine,Protection,"[' the world to be a better place', ' the world to be a better place.', ' the world to be a better place for everyone']","[' the people to be free', ' the revolution to be successful', ' overthrowing government']","[' the people to be free', ' the revolution to be over', ' the world to be better']","[' the people to be free', ' the revolution to be over', ' the revolution to be successful']"
27,The Turk and Mongol invaders found and easily robbed the mountains of wealth heaped in Hindu temples and it is little wonder that they had so little difficulty in conquering a spiritual country that had lost its material strength.,mountains,Wealth,Hazardous Geographic Feature,Scale,"[' none', ' the people of the country are grateful to the conquerors', ' the people of the country are grateful to the conqueror']","[' powerful', ' defeated', ' the money']","[' the people of the country to be free', ' the people of the country to get rich', ' the people of the country to be strong']","[' the people of the country to be free', ' the people of the country to give up', ' the country to be destroyed']"
28,"President Obama, a well-known opponent of guns, told The Daily Skid, ""I am just about sick and tired of people walking around shooting at people willy-nilly.",opponent,Guns,Struggle,Enemy,"[' get a restraining order', ' none', ' get a gun']","[' angry', ' President Barack Obama', ' President Obama is against guns']","[' President Barack Obama', ' President Obama', ' president']","[' President Obama speaks out against gun violence', ' President Obama speaks out against gun violence.', ' President Obama is against gun control.']"
29,"By attacking the economic wealth generated by Ireland for Britain and the large Protestant landowners of Ireland, the Land League achieved victory where previous campaigns for rights in Ireland had failed.",attacking,Wealth,Physical Harm/Struggle/War,Threatened,"[' get rich', ' gain power', ' get a job']","[' powerful', ' victorious', ' successful']","[' get rich', ' gain power', ' land rights']","[' get rich', ' get a better deal', ' get a new job']"
30,"[But] I am very concerned that this so-called revolution of democracy and equality is actually creating cultural anarchy and punishing people with real talent.""",revolution,Democracy,Struggle/War,Conflict,"[' none', ' get arrested', ' get punished']","[' angry', ' immoral', ' talented']","[' people to be free', ' people who have talent', ' people who are talented']","[' none', ' get arrested', ' people are punished']"
31,Courting LBA political money by presidential candidates requires a willful disregard of the systemic degradation of representative democracy.,degradation,Democracy,Physical Harm,Threatened,"[' win election', ' get rich', ' get elected']","[' corrupt', ' money', ' criminalized']","[' win election', ' get rich', ' get elected']","[' win election', ' get rich', ' get elected']"
32,"The only thing that has shaped gun rights or gun restrictions, has been state and local laws through our jurisprudence.",shaped,Gun Rights,Shape,Built,"[' none', ' the law to be followed', ' the law to be enforced']","[' law-abiding', ' legal', ' law abiding']","[' the law to be the law', ' the law to be in place', ' the law to be enforced']","[' the law to be followed', ' the law to be enforced', ' the law to be enforced.']"
33,Poverty is the mother of crime.,mother,Poverty,Family,Child,"[' none', ' get into trouble', ' get arrested']","[' Poverty is the mother of crime.', ' Poverty is not the mother of crime.', ' Poverty is the mother of all crime.']","[' PersonX is a criminal.', ' PersonX gets arrested for robbery.', ' PersonX gets arrested for stealing.']","[' get into trouble', ' get arrested', ' none']"
34,"Also, the living Constitution threatens the rights of the minority.",threatens,Government,Physical Harm,Threat,"[' none', ' have no rights', ' have to pay for it']","[' also the rights of the minority', ' also the rights of the minorities', ' also the rights of the minority.']","[' also the rights of the minorities', ' also the rights of the minority', ' also the rights of the minority.']","[' none', ' have no rights', ' have a voice']"
35,"More productive pursuits become the casualties of taxation, which then reinforces the bias in favour of land speculation.",casualties,Taxation,Physical Harm/War,Threat,"[' more people to work for less money', ' more people to work for less money.', ' more people to pay taxes on']","[' more people to work for less money', ' more people to work for less money.', ' more money in the bank']","[' more people to work for less money', ' more people to work for less money.', ' more people to pay taxes on']","[' more people to work for less money', ' more people to work for less money.', ' more people to pay taxes on']"
36,"Poverty engenders a social environment characterized by hopelessness and disenfranchisement, leading to substance abuse and violence.",engenders,Poverty,Animal,Extractor,"[' get into trouble', ' get arrested', ' lose job']","[' poor', ' sad', ' poverty']","[' poor', ' poverty', ' poor people']","[' get into trouble', ' get arrested', ' get arrested for crime']"
37,"By combining sound economics with measures designed to strengthen democracy, equalize opportunity, enhance national security, protect human rights and foster competitiveness, we advocate policies designed to improve life for all of our citizens and ensure the long-term health of our environment.",strengthen,Democracy,Building/Strength,Built,"[' none', ' to be a good citizen', ' people to be healthy']","[' good for the environment', ' good for the world', ' good for the planet']","[' make sure people have a good life', ' make sure people have a good time', ' make sure people are safe']","[' make sure people have a good life', ' make sure the environment is healthy', ' make sure the environment is safe']"
38,"In Ethiopia, democracy is in its infancy and it must be nurtured along by its leaders.",infancy,Democracy,Life Stage,Entity,"[' none', ' get a job', ' have a good life']","[' in need of help', ' in need of leadership', ' in need of support']","[' in need of help', ' in need of leadership', ' in need of support']","[' in need of help', ' in need of leadership', ' in need of support']"
39,"Yet such is the power of democracy worship, this secular religion, to blind people to the evidence of their own eyes that virtually every Western leader favored one-man, one-vote democracy in Rhodesia.",worship,Democracy,A God,God,"[' none', ' they are no longer in power', ' they are not allowed to vote']","[' no effect', ' none', ' powerful']","[' none', ' they are not allowed to vote', ' people to vote for them']","[' none', ' they are told they are wrong', "" they are told they can't change""]"
40,It may have not but in the case up here in Seattle everyone knew the gunman was a crzy nut including His family.I say that if the mental health sysyem would have acted and at least made it impossible for Him to buy guns the shooting may not have happened.If we stop just one mass killing it would be worth it it change the law and you cowboys could still but your sacred guns unless you where crazy.,sacred,Guns,A God,God,"[' none', ' get a restraining order', ' get a restraining order.']","[' none', ' get a restraining order', ' get a restraining order.']","[' none', ' get a restraining order', ' get a restraining order.']","[' none', ' get a restraining order', ' get a restraining order.']"
41,Poverty Alleviation,Alleviation,Poverty,Disease/Medicine,Threat,"[' none', ' get a job', ' get help from government']","[' PersonX is poor.', ' PersonX has no money.', ' PersonX is poor']","[' PersonX is poor', ' PersonX is poor.', ' PersonY is poor']","[' PersonX is poor', ' PersonX is poor.', ' PersonY is poor']"
42,Elbadawi and Sambanis (2000) have showed how democracy alleviates civil war.,alleviates,Democracy,Medicine,Protection,"[' none', ' have a better life', ' have a good reputation']","[' people to be free', ' people to be safe', ' people to be happy']","[' elbadawi and sambanis', ' elbadawi and Sambanis', ' elbadawi']","[' people to be free', ' people to be safe', ' people to feel better']"
43,And that is probably why gun control will win and has been slowly but surely.,win,Control of Guns,Competition/Game,Winner,"[' none', ' gun control is illegal', ' have less money']","[' gun control is illegal in the United States.', ' gun control is illegal in the United States', ' gun control is illegal in the US.']","[' gun control is illegal in the United States', ' gun control is illegal in the United States.', ' gun control is illegal in the US']","[' gun control', ' gun violence', ' none']"
44,"Politicians continue to give bureaucracy its (usually unfunded) mandate, and then they, who often manufactured bureaucracy in the first place, are reduced to haphazardly bullying it since nothing else, from their perspective, appears to work.",manufactured,Bureaucracy,Factory,Product,"[' none', ' they have to pay for it', ' they have to pay for it.']","[' they have to do what they are told to do', ' they have to do what they want them to do', ' they have to do what they are told to do.']","[' none', ' get a new job', ' get a raise']","[' none', ' they are forced to do it', ' they are forced to make a decision']"
45,"When this is the case, the government can provide that service instead by being a monopoly that can attain savings by using economies of scale.",provide,Government,Business,Servant,"[' have more money', ' make money', ' have less money']","[' efficient', ' powerful', ' dominant']","[' monopolistic', ' powerful', ' efficient']","[' make money', ' have more money', ' get more money']"
46,The failure to defend taxation has its cost.,defend,Taxation,Protection,Threatened,"[' none', ' pay more taxes', ' pay for it']","[' the cost of the failure to defend taxation', ' the cost of the failure to defend the tax', ' the cost of the failure to defend taxes']","[' none', ' the government to pay for it', ' the government to be in charge']","[' none', ' the government loses money', ' the government to be responsible']"
47,Attributing the victory of the Obama campaign to the hundreds of thousands of supporters who came together to achieve change is a lie.,victory,Elections,Competition/War,Winner,"[' they get a new president', ' none', ' they get a new job']","[' proud', ' hopeful', ' happy']","[' happy', ' proud', ' angry']","[' win the election', ' win election', ' none']"
48,"But a growing body of research has revealed an unfortunate aspect of the human psyche that would seem to disprove this notion, and imply instead that democratic elections produce mediocre leadership and policies.",produce,Elections,Factory,Business,"[' none', ' have no influence on others', ' have a bad experience']","[' none', ' people are not happy', ' people to be more successful']","[' none', ' have a bad reputation', ' have no influence on others']","[' none', ' get elected', ' people think about politics']"
49,So if we allow this inequity to continue and to destroy our democracy that is a blow for fledgeling democracies everywhere.,destroy,Democracy,Natural Physical Force/Physical Harm,Threatened,"[' none', ' so many people are suffering', ' so many people are being hurt']","[' unfair', ' angry', ' powerful']","[' so many people are suffering', ' so many people are affected by it.', ' so many people are affected by this injustice']","[' none', ' so many people are suffering', ' so many people are being hurt']"
50,"It is disturbing so many true American patriots want to take their democracy football and leave the field because, by a democratic vote in spite of all the millions spent, their guy lost.",football,Democracy,Game,Aid,"[' none', ' win or lose', ' lose the game']","[' angry', ' defeated', ' upset']","[' defeated', ' it is not fair', ' none']","[' win or lose', ' none', ' win or lose.']"
51,Epidemic: Guns kill twice as many kids as cancer does,kill,Guns,Physical Harm,Threatened,"[' none', ' get shot', ' get arrested']","[' Epidemic: Guns kill twice as many kids as cancer does', ' Epidemic: Guns kill twice as many people as cancer does', ' Epidemic: Guns kill twice as many children as cancer does']","[' death', ' epidemic', ' death toll']","[' gun violence', ' gun control laws', ' death']"
52,Gun control is a crime.,crime,Control of Guns,Crime,Crime,"[' none', ' gun violence', ' gun control']","[' gun control is illegal', ' gun control is illegal.', ' gun violence']","[' gun violence', ' gun control is illegal', ' gun control']","[' gun violence', ' gun control', ' gun control laws']"
53,"In the early 1990s, the public appetite for gun control may have been motivated more strongly by inner-city crime rates, and by the threat of crime in general, and Clinton’s 1994 bill addressed a broader issue of crime and security, marrying things like cop funding and tougher penalties to the sizable pillar of gun control.",appetite,Control of Guns,Food,Beneficial,"[' gun control', ' gun control laws', ' get arrested']","[' law enforcement', ' gun control', ' gun control laws']","[' law enforcement', ' gun control', ' gun control laws']","[' law enforcement', ' gun control', ' gun control laws']"
54,"So that from this it may appear how much he sins in the Church, who, preferring himself and his children to Christ, preserves his wealth, and does not share an abundant estate with the poverty of the needy.",preserves,Wealth,Protection,Protection,"[' none', ' soothe his heart', ' soothe his soul']","[' none', ' happy', ' soiled']","[' none', ' soothe his heart', ' soothe his heart.']","[' none', ' soothe his heart', ' soothe his soul']"
55,Turning the Sandy Hook event into a gun control scapegoat is ridiculous.,scapegoat,Control of Guns,Crime,Punished,"[' none', ' turn into a scapegoat', ' turn on each other']","[' turn the event into a scapegoat', ' turn into a scapegoat', ' turn the event into a political issue']","[' turn into a scapegoat', ' turn into a political issue', ' turn into a political tool']","[' turn into a scapegoat', ' turn into a political issue', ' none']"
56,Apparently the simple fact that some 80% of households have a gun and that only 12% of the population support less gun control has no influence on your false belief that gun owners will vote to defend their firearms.,defend,Guns,Protection,Threatened,"[' none', ' gun owners are not allowed to vote in the election.', ' gun owners are not allowed to vote in the election']","[' none', ' gun owners', ' gun control']","[' none', ' gun owners', ' gun control']","[' none', ' gun owners', ' gun control']"
57,"It envisions a Supreme Court standing (or rather enthroned) at the apex of government, empowered to decide all constitutional questions, always and everywhere `primary' in its role.""",apex,Government,High Location,Level,"["" it's role to be a judge"", "" it's role as a judge"", ' none']","["" it's role to be a judge"", "" it's role as a judge"", "" it's role to be a judge.""]","["" it's role to be a judge"", "" it's role as a judge"", "" it's role to be a judge.""]","["" it's role as a judge"", "" it's role to be a judge"", "" it's role as a judge.""]"
58,"New York's pensions are the financial equivalent of the neutron bomb: kill taxpayers right away, but save the bill for future generations,"" Astorino said.",kill,Taxation,Crime,Threatened,"[' none', ' get rich', ' pay for it']","[' responsible', ' rich', ' greedy']","[' responsible', ' rich', ' wealthy']","[' none', ' get rich', ' pay for it']"
59,The government of Iraq today has advanced from the Hussein dictatorship and its partial democracy is one desirable development.,advanced,Government,Forward Movement,Agent,"[' the people to be free', ' the country to be free', ' none']","[' the country to be a better place', ' the country to be a better place to live', ' the country to be a better place.']","[' the people to be free', ' the country to be free', ' the country to be better']","[' the people to be free', ' the country to be free', ' the country to be better']"
60,"Darwinism doesn't involve the collateral damage of loose gun laws, nor the caustic social effects of an armed society",collateral damage,Control of Guns,Struggle,Threat,"[' none', ' they learn from it', ' they learn about evolution']","[' intelligent', ' immoral', ' violent']","[' none', ' intelligent', ' moral']","[' none', ' people to die', ' people to be safe']"
61,Today's economic system produces poverty as a matter of course; attacks on unions and an already limited welfare state further exacerbate the situation.,produces,Poverty,Factory,Product,"[' people to be poor', ' poor', ' people who have no money']","[' poor', ' impoverished', ' rich']","[' poor', ' sad', ' angry']","[' people to be poor', ' get a job', ' people are poor']"
62,"As federal gun control retreated, so too did symbolic state legislative attempts to nullify it",retreated,Control of Guns,Backward Movement,Agent,"[' as a result of gun control', ' as a result of the gun control movement', ' as a result of the gun control']","[' as a result of gun control', ' as a result of the gun control movement', ' as a protest']","[' as a result of gun control', ' as a weapon', ' as a result of the gun control']","[' as a result of gun control', ' as a result of the gun control movement', ' as a result of the gun control laws']"
63,Because of me six more people are active in gun rights advancement and each of them invite people to go to the range with us; we have one or two new shooters each time.,advancement,Gun Rights,Forward Movement,Agent,"[' none', ' have more people to talk to', ' have more people to shoot with']","[' none', ' because of me', ' because I am a leader']","[' none', ' because of me', ' because they like it']","[' none', ' get to know each other', ' get to know new people']"
64,There are two bills up in the State Senate in the next few days that will heavily impact your gun rights.,impact,Gun Rights,Physical Harm,Threatened,"[' have a gun in their home', ' have a gun in their house', ' have to pay for it']","[' gun control', ' there are no more bills', ' there are no more bills up']","[' there are no more bills', ' gun control', ' there are no more bills up']","[' gun control', ' gun control laws', ' there are bills']"
65,"This remains to be seen, since the SL government has been ruthlessly robbing Tamils of their lands and their homes.",robbing,Government,Crime/Theft,Criminal,"[' none', ' get rich', ' get a job']","[' angry', ' sadistic', ' sad']","[' none', ' get rich', ' get a job']","[' none', ' get rich', ' get a job']"
66,Democracy for America is supporting four great Secretary of State candidates that will start restoring fairness to our elections.,supporting,Democracy,Building,Component,"[' get elected', ' none', ' get a job']","[' PersonX is elected to the position.', ' PersonX is elected by the people.', ' PersonX is elected to office.']","[' vote for them', ' vote for the candidates', ' get elected']","[' get elected', ' vote for them', ' vote for the candidates']"
67,This has sparked much debate in the already lit fire of gun control.,fire,Control of Guns,Fire,Fire,"[' get arrested', ' none', ' have a debate']","[' this is not the first time this has happened', ' this is not the first time it has happened', ' this is not the first time this has happened.']","[' this is not the first time', ' this is not a good thing', ' this is not a good idea']","[' get arrested', ' have a debate', ' get arrested for it']"
68,"Finally, poverty, various forms of exploitation, child abuse and trauma rob many children and youth of the quality of life envisioned in the Convention on the Rights of the Child.",rob,Poverty,Crime/Theft,Crime,"[' none', ' children to suffer', ' children to be abused']","[' sad', ' poor', ' sadistic']","[' children to be safe', ' sad', "" children's lives are ruined""]","[' none', ' child abuse', ' children to be safe']"
69,"It was the first parliamentary election in which I voted; I can reveal that my vote went to Shirley Williams, fighting her last election in Cambridge on behalf of the SDP/Liberal Alliance.",fighting,Elections,Struggle,Conflict,"[' it was the first time I voted', ' it was the first time I had voted', ' it was the first time I voted for someone']","[' voting', ' happy', ' informed']","[' it was the first time I voted', ' it was the first time I had voted', ' it was the first time I voted for someone']","[' it was the first time I voted', ' it was the first time I had voted', ' it was the first time I voted for someone']"
70,"Regardless, if I grow 10 tomatos, and you only grow 2, I have created more wealth than you have.",created,Wealth,Building,Built,"[' none', ' have less money', ' have more money']","[' good at what they do', ' good at what they do.', ' good about themselves']","[' none', ' grow more tomatos', ' grow more tomatos.']","[' grow more tomatos', ' none', ' plant tomatos']"
71,"If the Arab world really supported the Palestinians, rather than uniting around hatred of the Israeli state - they would divert 1 days oil revenues to boosting the Palsetinian economy, to destroying the poverty caused by the extremists in their war agains moderate Islam, towards joint projects that would solve the problems.",destroying,Poverty,Physical Harm,Enemy,"[' none', ' to help the people', ' to help the poor']","[' none', ' to help the people', ' to help the poor']","[' to help the people', ' to help the poor', ' none']","[' none', ' to help the people', ' to help the poor']"
72,This money would increase revenues for fire protection and law enforcement.,increase,Wealth,Upward Movement,Resource,"[' pay for fire protection', ' pay for services', ' pay for fire fighters']","[' this money will be used to pay for other things', ' this is a good thing', ' this money will be used to pay for the fire']","[' money', ' this is a good thing', ' fire department']","[' pay for fire fighters', ' pay for fire protection', ' pay for services']"
73,And the job market won't recover until government reduces the burden it creates on production.,reduces,Bureaucracy/Government,Physical Burden,Threat,"[' get a job', ' have less money', ' none']","[' unemployed', ' depressed', ' productive']","[' have less money to spend', ' have to pay for it', ' have to pay more taxes']","[' get out of the way', ' get a job', ' get out of debt']"
74,Excellent point we need to show what gun control is really selling to the public - the CONSEQUENCES.,selling,Control of Guns,Business,Business,"[' none', ' to show the consequences of gun control', ' to show the consequences of the gun control']","[' good', ' angry', ' none']","[' we need to show the consequences', ' we need to make a point', ' none']","[' to show the consequences of gun control', ' none', ' to show the consequences of the gun control']"
75,"For the Argentines whom we got to know, tyranny is not caused by the government, but those who stole the government and used it for negative purposes.",stole,Government,Theft,Property,"[' none', ' get arrested', ' people get hurt']","[' evil', ' corrupt', ' immoral']","[' evil', ' corrupt', ' bad']","[' none', ' for the government to be bad', ' for the government to be corrupt']"
76,The contradictions of Kenya -- where multiparty democracy competes with feudal tribalism -- could be said to be precisely those you would expect in a country racing at breakneck speed towards modernity.,competes,Democracy,Competition/Game,Side,"[' none', ' the country to be a better place', ' the country to be a better place to live']","[' political', ' powerful', ' political instability']","[' the country to be a better place', ' the country to be modern', ' the country to be a modern one']","[' none', ' the country to be modern', ' the country to be more modern']"
77,"All were asking of our Government is to match our level of concern and make sure our taxes are supporting the clean energy solutions, not the problem.",supporting,Taxes,Building,Servant,"[' none', ' all of us are asking for the same thing.', ' all of us are asking for the same thing']","[' responsible', ' concerned', ' worried']","[' all are asking for the same thing', ' all of us are asking for the same thing.', ' all of us are asking for the same thing']","[' all are asking for the same thing', ' none', ' all are asking for the same thing.']"
78,"The guns are supposed to be checked in, but once you open the gun door, well, shit happens.",door,Guns,Portal,Barrier,"[' none', ' get arrested', ' get shot']","[' the door to the gun to be opened', ' the door to the gun to be open', ' the door to the gun room is locked']","[' the gun door is locked', ' the gun is locked', ' the gun door is open']","[' the door to the gun room is open', ' the door to the room is open', ' the door to the gun room opens']"
79,"Some would have you believe that this legislation cures voter identity fraud, continued Wilson.",cures,Government,Disease,Protection,"[' none', "" some people think it's a good idea"", "" some people think it's a good thing""]","["" some people think it's a good idea"", "" some people think it's a good thing"", "" some people don't believe in it""]","["" some people think it's a good idea"", "" some people think it's a good thing"", "" some people don't believe in it""]","[' none', "" some people think it's a good idea"", "" some people think it's a good thing""]"
