,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12,phrase_1,phrase_2,xAttr,xEffect,xIntent,xNeed,xReact,xReason,xWant,Clean CSR_xWant,Clean CSR_xIntent,Clean CSR_xAttr,Clean CSR_xReact,Clean CSR_xEffect,Clean CSR_xNeed,Clean CSR_xReason
10,10,10,123,"History has demonstrated that citizens in most places most of the time are generally averse to conflicts with long-term costs, and that democracy restrains aggressive rulers.",01 Health and Safety,Threat,democracy,,restrains,democracy,Democracy,restrains,Confinement/Physical Harm,1971835.0,,,restrains aggressive,restrains aggressive,"[[' controlling', ' calm', ' strong']]","[[' gets yelled at', ' PersonX is restrained.', ' PersonX is calm.']]","[[' to be calm', ' to not be aggressive', ' to not be aggressive.']]","[[' none', ' to be in a fight', ' to know how to control themselves']]","[[' calm', ' relieved', ' relaxed']]","[[' PersonX gets into an argument with PersonY', ' PersonX gets into a fight', ' PersonX takes a deep breath']]","[[' to calm down', ' to relax', ' to be calm']]","Want:  to relax, to calm down,  to be calm","Intents: to be calm,  to not be aggressive","Attributes:  strong,  calm, controlling","Reactions: calm,  relaxed,  relieved","Effects:  speaker is calm,  speaker is restrained, gets yelled at","Needs:  to be in a fight,  to know how to control themselves","Reasons:  speaker takes a deep breath, speaker gets into an argument with someone,  speaker gets into a fight"
11,11,11,355,"Until last week, in spite of rhetoric stating that one of its principal goals in Colombia is to protect democracy, Washington had remained conspicuously silent regarding the recent anti-democratic maneuvers perpetrated by Colombia's hardliners.",01 Health and Safety,Threatened,democracy,,protect,democracy,Democracy,protect,Protection,2663969.0,,,"protect democracy,","protect democracy,","[[' responsible', ' brave', ' patriotic']]","[[' PersonX is elected president.', ' PersonX becomes a hero.', ' PersonX becomes a hero']]","[[' to be a good citizen', ' to be a good person', ' to be a leader']]","[[' none', ' to be a citizen', ' to understand the situation']]","[[' proud', ' happy', ' good']]","[[' PersonX wants to be a good citizen', ' PersonX wants to be a leader', ' PersonX wants to be a good person']]","[[' to be a leader', ' to be a good citizen', ' to be a hero']]","Want: to be a leader,  to be a hero,  to be a good citizen","Intents:  to be a leader, to be a good citizen,  to be a good person","Attributes:  patriotic, responsible,  brave","Reactions: proud,  good,  happy","Effects:  speaker becomes a hero, speaker is elected president","Needs:  to be a citizen,  to understand the situation","Reasons: speaker wants to be a good citizen,  speaker wants to be a good person,  speaker wants to be a leader"
12,12,12,248,"Like the Founders and the Framers and lots of other intelligent folks, however, I recognize that an unconstrained 'democracy"" harbors within it the seeds of some serious problems.",01 Health and Safety,Threat,democracy,,harbors,democracy,Democracy,harbors,Physical Harm/Protection,155577.0,,,harbors within,harbors within,"[[' brave', ' thoughtful', ' strong']]","[[' none', "" PersonX's heart rate increases."", "" PersonX's heart rate increases""]]","[[' none', ' to be free', ' to be alone']]","[[' none', ' to know what they want to do', ' to know what they want']]","[[' happy', ' relieved', ' content']]","[[' PersonX goes to the bathroom', ' PersonX goes to the beach', ' PersonX is in a boat']]","[[' to go home', ' to go to the bathroom', ' to go to sleep']]","Want:  to go to the bathroom,  to go to sleep, to go home","Intents:  to be free,  to be alone","Attributes:  strong, brave,  thoughtful","Reactions:  content, happy,  relieved","Effects:  "" speakers heart rate increases""","Needs:  to know what they want to do,  to know what they want","Reasons: speaker goes to the bathroom,  speaker goes to the beach,  speaker is in a boat"
13,13,13,706,FRAC (www.frac.org) is the leading national organization working for more effective public and private policies to eradicate domestic hunger and undernutrition.,03 Conflict,Enemy,hunger,,Eradicate,hunger,Poverty,eradicate,Disease,2664279.0,,,eradicate domestic,eradicate domestic,"[[' aggressive', ' controlling', ' determined']]","[[' PersonX kills the domestic.', ' none', ' PersonX kills the domestic']]","[[' to get rid of a problem', ' to get rid of the domestic', ' to get rid of the problem']]","[[' none', ' to have a plan', ' to find a domestic']]","[[' accomplished', ' satisfied', ' happy']]","[[' PersonX wants to get rid of all domestic animals', ' PersonX wants to clean up the house', ' PersonX wants to get rid of all domestic animals.']]","[[' to get rid of the domestic', ' to get rid of all domestic animals', ' to get rid of the problem']]","Want:  to get rid of all domestic animals, to get rid of the domestic,  to get rid of the problem","Intents:  to get rid of the domestic, to get rid of a problem,  to get rid of the problem","Attributes:  determined, aggressive,  controlling","Reactions:  satisfied, accomplished,  happy","Effects:  speaker kills the domestic, speaker kills the domestic","Needs:  to have a plan,  to find a domestic","Reasons: speaker wants to get rid of all domestic animals,  speaker wants to clean up the house,  speaker wants to get rid of all domestic animals"
14,14,14,1002,"Welcome to the world of government/military procurement and specifications - bureaucracy wins over performance, price and value every time.",03 Conflict,Winner,bureaucracy,,wins,bureaucracy,Bureaucracy,wins,Competition/Game,3119442.0,,,wins over,wins over,"[[' friendly', ' persuasive', ' confident']]","[[' PersonX gets a new friend.', ' PersonX gets a new friend', ' PersonX gets a new job.']]","[[' to be liked', ' to be popular', ' none']]","[[' none', ' to talk to someone', ' to talk to people']]","[[' happy', ' good about themselves', ' good about themselves.']]","[[' PersonX goes on a date with PersonY.', ' PersonX goes on a date with PersonY', ' PersonX goes on a date with the girl.']]","[[' to make a new friend', ' to be a good friend', ' to be a good person']]","Want:  to be a good person, to make a new friend,  to be a good friend","Intents: to be liked,  to be popular","Attributes: friendly,  persuasive,  confident","Reactions:  good about themselves, happy","Effects: speaker gets a new friend,  speaker gets a new friend,  speaker gets a new job","Needs:  to talk to someone,  to talk to people","Reasons:  speaker goes on a date with the girl,  speaker goes on a date with someone, speaker goes on a date with someone"
15,15,15,701,I'm going to let you in on a little secret: I'm an opponent of gun control.,03 Conflict,Enemy,gun control,,opponent,gun control,Control of Guns,opponent,Competition/Struggle,2669239.0,,,opponent of,opponent of,"[[' aggressive', ' mean', ' determined']]","[[' PersonX loses the game', ' PersonX loses the game.', ' PersonX loses the match.']]","[[' to win', ' to win the game', ' to win the match']]","[[' none', ' to know the opponent', ' to be in a match']]","[[' defeated', ' like a winner', ' like a winner.']]","[[' PersonX wants to win the game', ' PersonX wants to win', ' PersonX wins the game']]","[[' to win', ' to win the game', ' to win the match']]","Want: to win,  to win the game,  to win the match","Intents: to win,  to win the game,  to win the match","Attributes:  mean, aggressive,  determined","Reactions: defeated,  like a winner","Effects:  speaker loses the game, speaker loses the game,  speaker loses the match","Needs:  to know the opponent,  to be in a match","Reasons:  speaker wins the game, speaker wants to win the game,  speaker wants to win"
16,16,16,156,"It is a government-induced poverty pill, which we all shall soon be forced to swallow by force of law.",01 Health and Safety,Threat,poverty,,pill,poverty,Poverty,pill,Medicine,2378310.0,,,,,"[[' responsible', ' sickly', ' sick']]","[[' PersonX takes the pill.', ' PersonX takes the pill', ' PersonX takes a pill.']]","[[' to feel better', ' to be healthy', ' to get better']]","[[' to take the pill', ' none', ' to get the pill']]","[[' relieved', ' happy', ' satisfied']]","[[' PersonX takes a pill', ' PersonX takes the pill', ' PersonX takes a pill to feel better']]","[[' to feel better', ' to take a nap', ' to take a shower']]","Want:  to take a nap,  to take a shower, to feel better","Intents: to feel better,  to get better,  to be healthy","Attributes:  sickly,  sick, responsible","Reactions:  satisfied, relieved,  happy","Effects:  speaker takes a pill,  speaker takes the pill, speaker takes the pill","Needs: to take the pill,  to get the pill","Reasons:  speaker takes the pill, speaker takes a pill,  speaker takes a pill to feel better"
17,17,17,1312,Actually the gun lobby supports the gun business pure and simple.,05 Engineering and Business: Engineering,Component,gun lobby,,supports,gun lobby,Gun Rights,supports,Building,2713991.0,,,supports the,supports the,"[[' caring', ' supportive', ' responsible']]","[[' none', ' PersonX gets a raise.', ' PersonX gets a raise']]","[[' to be a good person', ' to be a good person.', ' to be a good citizen']]","[[' none', ' to know what they believe in', ' to know what they believe']]","[[' happy', ' proud', ' good']]","[[' PersonX wants to be a good person.', ' PersonX wants to be a good person', ' PersonX wants to be a good citizen.']]","[[' to be a good person', ' to be a good citizen', ' to be a leader']]","Want: to be a good person,  to be a good citizen,  to be a leader","Intents: to be a good person,  to be a good citizen,  to be a good person","Attributes: caring,  responsible,  supportive","Reactions:  good, happy,  proud",Effects:  speaker gets a raise,"Needs:  to know what they believe in,  to know what they believe","Reasons: speaker wants to be a good person,  speaker wants to be a good person,  speaker wants to be a good citizen"
18,18,18,524,Taxes Advanced,02 Journey,Change,Taxes,,Advanced,Taxes,Taxation,Advanced,Forward Movement,2532205.0,,,Advanced,Advanced,"[[' skilled', ' smart', ' intelligent']]","[[' gains knowledge', ' PersonX gains knowledge', ' PersonX gets a promotion']]","[[' to be the best', ' to be the best.', ' to be the best at something']]","[[' none', ' to study hard', ' to learn the material']]","[[' accomplished', ' proud', ' happy']]","[[' PersonX takes a test', ' PersonX takes the test', ' PersonX studies for the test']]","[[' to get a good grade', ' to get a promotion', ' to get a good job']]","Want: to get a good grade,  to get a promotion,  to get a good job","Intents: to be the best,  to be the best,  to be the best at something","Attributes: skilled,  intelligent,  smart","Reactions: accomplished,  proud,  happy","Effects:  speaker gains knowledge, gains knowledge,  speaker gets a promotion","Needs:  to learn the material,  to study hard","Reasons: speaker takes a test,  speaker studies for the test,  speaker takes the test"
19,19,19,305,"- Obama is continuing the process of transforming America into something that resembles Nazi Germany, with forced National Service, domestic civilian spies, warrantless wiretaps, the destruction of the Second Amendment, and Martial Law.",01 Health and Safety,Threatened,Second Amendment,,destruction,Second Amendment,Gun Rights,destruction,Natural Physical Force/Physical Harm,3766376.0,,,destruction of,destruction of,"[[' destructive', ' violent', ' mean']]","[[' gets arrested', ' PersonX gets arrested.', ' PersonX gets arrested']]","[[' to destroy something', ' to be destructive', ' to destroy something.']]","[[' none', ' to have something to destroy', ' to have a weapon']]","[[' powerful', ' sad', ' angry']]","[[' PersonX wants to destroy the world', ' PersonX destroys the house', ' PersonX wants to destroy everything']]","[[' to get revenge', ' to get revenge on someone', ' to get a new house']]","Want:  to get a new house, to get revenge,  to get revenge on someone","Intents: to destroy something,  to be destructive,  to destroy something","Attributes:  mean,  violent, destructive","Reactions:  sad,  angry, powerful","Effects:  speaker gets arrested, gets arrested","Needs:  to have a weapon,  to have something to destroy","Reasons: speaker wants to destroy the world,  speaker wants to destroy everything,  speaker destroys the house"
20,20,20,422,"They attack ""rich people"" while enjoying all the spoils of their luck, I have zero problems with earned wealth, but these clowns literally lucked out in life.",01 Health and Safety,Threatened,rich people,,attack,rich people,Wealth,attack,War,2110177.0,,,"attack ""rich","attack ""rich","[[' violent', ' aggressive', ' mean']]","[[' gets arrested', ' PersonX gets arrested.', ' PersonX gets arrested']]","[[' to get rich', ' to hurt someone', ' to be rich']]","[[' none', ' to find the rich', ' to have a plan']]","[[' angry', ' powerful', ' guilty']]","[[' PersonX is angry at the rich', ' PersonX is a criminal', ' PersonX sees a rich person']]","[[' to kill the rich', ' to get revenge', ' to get rich']]","Want:  to get revenge,  to get rich, to kill the rich","Intents:  to be rich, to get rich,  to hurt someone","Attributes:  mean, violent,  aggressive","Reactions:  guilty, angry,  powerful","Effects:  speaker gets arrested, gets arrested","Needs:  to have a plan,  to find the rich","Reasons:  speaker sees a rich person,  speaker is a criminal, speaker is angry at the rich"
21,21,21,494,"Yes, being poor is a burden upon humanity in my opinion and it effects all of us.",02 Journey,Barrier,being poor,,burden,being poor,Poverty,burden,Physical Burden,2378407.0,,,burden upon,burden upon,"[[' burdened', ' burdening', ' needy']]","[[' none', ' PersonX is burdened', ' PersonX is burdened.']]","[[' none', ' to be helpful', ' to be responsible']]","[[' none', ' to have something to burden upon', ' to have something to burden']]","[[' burdened', ' burdened.', ' sad']]","[[' PersonX is a burden on PersonY', ' PersonX is a burden on PersonY.', ' PersonX is a burden to others.']]","[[' to be helpful', "" to make sure they don't go to jail"", "" to make sure they don't get hurt""]]","Want: to be helpful,  "" to make sure they dont get hurt"",  "" to make sure they dont go to jail""","Intents:  to be responsible,  to be helpful","Attributes:  needy, burdened,  burdening","Reactions:  burdened,  sad, burdened",Effects:  speaker is burdened,"Needs:  to have something to burden,  to have something to burden upon","Reasons: speaker is a burden on someone,  speaker is a burden on someone,  speaker is a burden to others"
22,22,22,1498,Democracy is a punishment for not having popular enough western leaning leaders.,06 Morality and Justice,Punishment,Democracy,,punishment,Democracy,Democracy,punishment,Crime,164139.0,,,punishment for,punishment for,"[[' mean', ' punished', ' cruel']]","[[' PersonX is punished.', ' PersonX is punished', ' PersonX gets punished.']]","[[' to punish someone', ' to punish', ' to be punished']]","[[' none', ' to have done something wrong', ' to do something wrong']]","[[' guilty', ' ashamed', ' sad']]","[[' PersonX breaks the law', ' PersonX breaks the rules', ' PersonX gets caught cheating']]","[[' to get out of trouble', ' to get out of the situation', ' to get out of jail']]","Want:  to get out of jail,  to get out of the situation, to get out of trouble","Intents: to punish someone,  to be punished,  to punish","Attributes:  punished, mean,  cruel","Reactions:  sad,  ashamed, guilty","Effects: speaker is punished,  speaker gets punished,  speaker is punished","Needs:  to have done something wrong,  to do something wrong","Reasons: speaker breaks the law,  speaker gets caught cheating,  speaker breaks the rules"
23,23,23,1719,The indiosyncracy of the Govt. made it sure that the revolution did not spread to the masses and companies continue to invest in the hope that the dark clouds of regulation would give way to bright sunshine some day.,13 Nature: Weather,Weather,regulation,dark clouds of [weather],dark clouds of,regulation,Bureaucracy,dark clouds,Darkness,762280.0,,,dark clouds of [weather],dark clouds of weather,"[[' scared', ' dark', ' sad']]","[[' none', ' PersonX sweats from nervousness', ' PersonX sweats from nervousness.']]","[[' none', ' to be gloomy', ' to make a statement']]","[[' none', ' to look at the sky', ' to look at the weather forecast']]","[[' sad', ' scared', ' worried']]","[[' PersonX looks at the sky', ' PersonX looks at the weather forecast', ' PersonX looks at the weather report']]","[[' to get out of the weather', ' to get out of the rain', ' to get out of the rain.']]","Want:  to get out of the rain, to get out of the weather","Intents:  to be gloomy,  to make a statement","Attributes: scared,  sad,  dark","Reactions: sad,  scared,  worried",Effects:  speaker sweats from nervousness,"Needs:  to look at the sky,  to look at the weather forecast","Reasons: speaker looks at the sky,  speaker looks at the weather forecast,  speaker looks at the weather report"
24,24,24,1537,"If you believe that gun control is a failed experiment, then you believe the experiment should be ended.",07 Systematic Explanations,Failed Experiment,gun control,[failed experiment] is a failed experiment,failed experiment,gun control,Control of Guns,experiment,Science,,,,[failed experiment] is a failed experiment,failed experiment is a failed experiment,"[[' frustrated', ' unsuccessful', ' careless']]","[[' PersonX fails the experiment.', ' PersonX fails the experiment', ' none']]","[[' none', ' to be successful', ' to try something new']]","[[' none', ' to have tried something', ' to do something wrong']]","[[' sad', ' disappointed', ' frustrated']]","[[' PersonX is too smart to fail.', ' PersonX is too smart.', ' PersonX is a genius.']]","[[' to try again', ' to try something else', ' to learn from the failure']]","Want:  to try something else,  to learn from the failure, to try again","Intents:  to try something new,  to be successful","Attributes: frustrated,  unsuccessful,  careless","Reactions: sad,  disappointed,  frustrated","Effects: speaker fails the experiment,  speaker fails the experiment","Needs:  to do something wrong,  to have tried something","Reasons: speaker is too smart to fail,  speaker is a genius,  speaker is too smart"
25,25,25,612,"Firstly, the loss of elections in Gagauzia does not imminently attract a major danger for quality of CPRM as dominant party in the Republic of Moldova.",03 Conflict,Conflict,elections,,loss,elections,Elections,loss,Competition/Game,2661651.0,,,loss of,loss of,"[[' sad', ' lost', ' depressed']]","[[' PersonX cries', ' PersonX cries.', ' none']]","[[' none', ' to be alone', ' to be happy']]","[[' none', ' to have lost something', ' to lose something']]","[[' sad', ' sad.', ' upset']]","[[' PersonX loses their job', ' PersonX loses their job.', ' PersonX loses the lottery ticket']]","[[' to get a new job', ' to find a new job', ' to find a solution']]","Want: to get a new job,  to find a solution,  to find a new job","Intents:  to be happy,  to be alone","Attributes: sad,  depressed,  lost","Reactions: sad,  sad,  upset","Effects: speaker cries,  speaker cries","Needs:  to lose something,  to have lost something","Reasons:  speaker loses the lottery ticket, speaker loses their job,  speaker loses their job"
26,26,26,35,The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.,01 Health and Safety,Protection,democracy,,cure,democracy,Democracy,cure,Disease/Medicine,163975.0,,,cure for,cure for,"[[' helpful', ' smart', ' intelligent']]","[[' none', ' PersonX cures the disease.', ' PersonX is cured.']]","[[' to be helpful', ' to be a doctor', ' to help people']]","[[' none', ' to find a cure', ' to have a cure']]","[[' relieved', ' happy', ' good']]","[[' PersonX is a doctor', ' PersonX cures a disease', ' PersonX is a scientist']]","[[' to cure more diseases', ' to cure more people', ' to cure others']]","Want:  to cure others, to cure more diseases,  to cure more people","Intents:  to help people, to be helpful,  to be a doctor","Attributes:  intelligent, helpful,  smart","Reactions:  good, relieved,  happy","Effects:  speaker cures the disease,  speaker is cured","Needs:  to have a cure,  to find a cure","Reasons:  speaker is a scientist,  speaker cures a disease, speaker is a doctor"
