Sentence,True,Prediction
"When we conquer a foreign land, our appointed governor cannot simply plant democracy in the tread of his boots.",Beneficial Plant,Undesirable Plant
They knew exactly how unpopular the legislation was but passed it anyways because of the outside influence from Democrats who wanted to reinforce gun control and Bloomberg who is a little dictator who just likes to get his way.,Built,Built
I beg your pardon but if there was any organisation effectively fighting gun control I would know about it.,Side,Enemy
"Somehow, a ""special election"" will cure all of Rochester's ills!",Protection,Protection
"I'll give you a hint, it was involving a taxation conflict.",Conflict,Conflict
"Nobody ever gets elected to any political office whatsoever unless he or she is hand-picked by a bunch of Jews and subscribes wholeheartedly to a complex agenda that preserves and protects the State of Israel at all costs, keeps Jews in complete control of all media and entertainment, turns the suffering of six billion slaves into mountains of money for Nazi conglomerates and keeps ordinary consumers brainwashed out of their poor, stupid minds.",Scale,Scale
Right now we know diddly squat...and any time a mentally unstable jerkwad purchases a gun and goes postal it hurts our gun rights more than if we supported stronger mental health care.,Threatened,Threat
People in other countries are amazed as to how some people in the USA idolize the gun as some writers here do.,God,God
"But if his wealth harms the poor, it is not justified.",Threat,Threat
"Our scientist, after fighting off an invasion of red tape, puts together his ideas into a product which looks like a completed puzzle from one angle.",Threat,Enemy
"Modern Liberalism's many accomplishments, like the war on poverty that ended with the unconditional surrender of poverty, are just intimidating.",Loser,Conflict
"Simple solutions like providing high-yield seeds, fertilizers, medicines, drinking wells, and materials to build school rooms and clinics are effectively combating extreme poverty and nourishing communities into a new age of health and opportunity.",Enemy,Enemy
"How can local governments and civil-society organizations effectively fight poverty and promote social responsibility in countries as diverse as Canada, China and Ghana?",Threatened,Enemy
The building is currently producing income.,Product,Undesirable Plant
"Prohibition didn't end alcohol addiction in the 1920s, and gun laws won't end gun addiction in our time.",Threat,Threat
"Over more than ten years, sides were taken, guns drawn, lives lost.",Aid,Loser
We cannot allow Texas to go down the big government pathway.,Goal,Movement
If even a tenth of the current military has the lack of morals to try and suppress the peoples of this country (hopefully to be many small countries in the end) I personally hope they rot in whatever hell you believe in along with the statist ninnies who worship gun control and the bully-by-proxy government we suffer with now.,God,God
Mozambique: President to fight poverty05/01Mozambican president Armando Guebuza has said he would dedicate more of his efforts in fighting poverty in 2009.,Enemy,Enemy
This gun control battle has been waged for 80 years.,Conflict,Conflict
The opposition attempts to obscure the blame by hiding behind the faceless shield of bureaucracy.,Protection,Clothing
Odinga had accused the government of President Mwai Kibaki of stealing last year's Presidential elections.,Crime,Property
It also witnessed the evolution of the Senate from agent of compromise to an elite club of powerful committee chairmen.,Agent,Change
An Axis victory in Europe and Asia would threaten democracy in North America.,Threatened,Threatened
"House votes to extend plastic gun ban After Newtown, focus of U.S. gun control battle shifts to states WASHINGTON (Reuters) - In the year since the massacre of 26 schoolchildren and adults in Newtown, Connecticut, efforts to pass gun legislation have stalled in the U.S. Congress but shifted to the states, helped by the deep pockets of outgoing New York Mayor Michael Bloomberg.",Conflict,Conflict
"[I]f we and our posterity reject religious instruction and authority, violate the rules of eternal justice, trifle with the injunctions of morality, and recklessly destroy the political constitution which holds us together, no man can tell how sudden a catastrophe may overwhelm us that shall bury all our glory in profound obscurity.",Threatened,Threatened
How does marriage inequality hurt you or your family or your lesbian older sister or your gay best friend or your grandchild?,Threat,Victim
"At the same time, Myanmar is of vital strategic and economic importance to China and it clearly does not want to jeopardize its still delicate relationship with the junta by joining Western boycotts, condemnations and calls for the emergence of more democracy.",Change Type,Entity
"By harnessing input and expertise from a wide array of voices, we can continue to strengthen government.",Built,Built
Also I wanted to point out how Team Obama isn't just going to walk away from the Gun issues.,Conflict,Side
"Gun control advances in the Senate, Democrats thank MSM for propaganda April 11, 2013",Agent,Movement
"Alas, in the old age of democracy in which we live, equality takes precedence over liberty",Entity,Entity Age
Mr. Obama wants to steal our gun rights.,Property,Property
Eventually the Democrats hope you'll get used to the smell as the caps and taxes blossom in size and scope.,Beneficial Plant,Farmer/Gardener
Civil nations must unanimously oppose a rough nation whose President openly declares his intention to destroy the only democracy of Middle East.,Threatened,Threatened
The letter blames both parties for not doing more to tackle poverty.,Conflict,Side
"Steele tried to take a bite out of Obama's big push to get health care reform legislation before the August recess by calling it a ""reckless experiment"" in the ""laboratory"" of Congress.",Experiment,Failed Experiment
This has gone through the heart of the bureaucracy and emerged as policy.,Body,Wild Animal
That is why gun control will win.,Winner,Winner
If democrats don't want to be targeted they shouldn't vote for gun control.,Victim,Conflict
"His wealth increased while prime minister, while Lebanese were increasingly impoverished under his rule.",Resource,Resource
"Indeed Buchanan goes further than liberals ever did, attacking what he calls ""the Democratist temptation, the worship of democracy"" as ""a false god.""",God,God
The gun cult and their stooges won't allow it to be released.,God,God
Another: Nobody who accepts gun control will fight gun control.,Threatened,Side
They come to Kansas City to work together to develop skills essential in overcoming poverty in their communities.,Side,Enemy/Side
"The purpose of the humanitarian reconstruction and security assistance pledged last summer and the additional funds pledged at last month's Lebanon Donors' Conference in Paris, the press release notes, is ""to help all the Lebanese people rebuild their lives and country, while strengthening Lebanon's sovereign, democratic government and helping to ensure lasting peace.""",Built,Built
Gun control reduces deaths from firearms.,Threat,Threat
"Gun control addicts don't foresee that if firearms are completely banned, only criminals will have them.",Threat,Threat
Why do people think Texas is the pinnacle of gun rights?,Level,Level
"As to affluence being the cure for crime, Bernie Madoff.",Protection,Protection
"To paraphrase Mark Twain, rumors of the death of guns have been greatly exaggerated.",Threatened,Threatened
"lthough no one is required to literally worship the State or its rulers, this society is held together by the veneration of wealth and the exercise of political power.",God,God
Protecting Taxpayers,Protection,Protection
Many American corporations are dysfunctional because corporate democracy is a myth in the United States.,Topic,Topic
"The success of the 2012 Neighborhood Council elections in the short time frame was due to the hard work and collaboration of the Department staff, especially the IEAs, and the Neighborhood Councils with the Mayor's Office, City Council, Chief Administrative Officer, Chief Legislative Analyst, Office of the Controller, Office of the City Attorney, and the Office of the City Clerk, who set a solid election foundation and assisted the Department during election preparations.",Component,Component
"Many are up in arms about taxes, claiming that taxes are destroying their ability to thrive.",Threat,Threat
We've seen that gun bans are wholly ineffectual and that extreme gun control victimizes the people it's designed to protect.,Criminal,Victim
"A vote on Thursday fell one shy of bringing the bill up for debate, leaving only one day left for consideration.",Loser,Loser
If change does not come we might be seeing the final chapter of American democracy.,Topic,Topic
These Are the People Our Money Is Murdering in Gaza 22 July 2014 davidswanson,Criminal,Victim
"Note that the full economic argument has two parts, each of which is conveniently neglected by pro- and anti-gun crusaders: on the one hand, gun control does increase the cost of having guns (including black market prices) and, therefore, does prevent some criminals from getting them; on the other hand, gun control increases the cost for honest citizens of protecting themselves with guns.",Resource,Resource
A subcommission of the United Nations Human Rights Council (HRC) has declared that there is no human right to personal self-defense and that extremely strict gun control is a human right which all governments are required to enforce immediately.,Right,Enforcer
"In a polity where the power is purported to reside in ""the people,"" and in a society organized by a ""performative order of speech,"" he who could captivate the attention of an audience and persuade them through ""artful delivery"" of the truthfulness of his view would be in a position to sway the tide of government.",Flowing,Body of Water
Senators Willing to Surrender Our Second Amendment to UN Sovereignty,Threatened,Loser
"The projected U.S. ""misery index"" in 2012 at the end of President Obama's first term â€“ which Hanke says is ""already baked in the cake"" -  is projected to be the worst since the presidency of Richard Nixon, and ""can be laid squarely at the feet of President Obama's own policy errors and the notion that a big interventionist government alleviates misery.""",Protection,Protection
This aid enabled Europeans to overcome the poverty with which many of them struggled initially.,Side,Side
Opposing gun control doesn't mean I can't loathe gun culture.,Side,Side
Ist it longer than the 80 year gun control battle?,Conflict,Conflict
He uses the mask of gun rights to intermingle in support of freaky far-right goon causes.,Clothing,Clothing
"everybody believes guns manufacture themselves and ship themselves, hello hi I would like to order 100 ak47s, 200 AR-15s, and 50 desert eagles.",Business,Product
"I believe progressive tax is a necessary evil, because the budget cannot be cut enough for any sort of flat tax that wouldn't break the working poor... this is typically a liberal/progressive view.",Threat,Threat
"But that affords no reason why those who do not believe in their utility or practicability, should be compelled to contribute to their support through the convenient shield of taxation.",Aid,Protection
"It causes and/or exacerbates depression, alcoholism, murder, mayhem, destruction, road rage, callousness, disrespect, theft, sexual perversions of all kinds, cuddles criminals, makes crime profitable, in short, a democracy nurtures and breeds every conceivable pathogen designed to convulse life and, above all, a democracy steals liberties.",Criminal,Property
"$225,000 would certainly be a mountain of money to us!",Scale,Scale
"Thirdly, Hyden's proposal to limit direct government-to-government aid to infrastructure while requiring central governments to compete with local governments and grassroots organizations for development aid will, whether he intends it or not, have the effect of cutting, perhaps by as much as half, the already inadequate aid that African states now receive relative to their needs.",Side,Aid
What might harm our gun rights is this recent insistance on felons etc being able to buy firearms.,Threatened,Threat
The recent Colorado killings gave liberals yet more ammunition (pardon the pun) to threaten our sacred gun rights.,God,God
"The claim is that ""it protected the guns of the time.""",Threatened,Threatened
BTW if anyone is fighting gun control in California how come they have not made one singe dent in gun controls advance that has stuck.,Enemy,Enemy
"Von Stewart, a Forest Hills resident of five years, said Weiner has his vote next year, but said the congressman destroyed his mayoral aspirations.",Threat,Threatened
"When government robs capital from investors in the form of high taxes, it takes away the money that creates jobs.",Crime,Property
"Let the 31 Club, led by Daryle S. Lambert, help turn your antique & collectible work into actions that produce vast wealth.",Product,Product
Find out how you can carry the torch for gun rights at a local level through personal contact and the media.,Torch,Fire
UK Government Is Warming to Nuclear Power,Warming,Warming
"Tweet During her Thursday press conference, House Minority Leader Nancy Pelosi said that Wednesday's sweeping gun control defeat in the Democrat-controlled  Senate is a setback, but not the end, of Democrats' gun control efforts.",Side,Loser
"Individually and collectively, we possess the power to protect and maintain democracy and democratic values.",Threatened,Threatened
Capitalism was also a major factor in the general advancement of bureaucracy.,Change,Movement
"Illiberal Democracy at Home and Abroad warns that too much democracy threatens liberties, and that public-spirited elites should act as ""social stabilizers"" and not be accountable to public whim.",Threat,Threatened
His company railroaded our Federal government and avoided penalties associated with running a Trust only because the politicians they donated money to stole the election - apparently literally.,Property,Property
"Even as democracy claws its way into the kingdoms and autocracies of the Old World, the reality for us here in Mooresville is an economic one.",Wild Animal,Wild Animal
"He believes strongly in equity, compassion and empowerment, and that the backbone of democracy is people working together",Body,Component
They have been able to obtain a level of defense from the assault of poverty and have helped others along their way.,Threat,Enemy
I thought they were in jail. what we do know is that there is a paucity of evidence that the anti gun nuts are able to find in the USA that demonstrate that gun bans or restrictions decrease crime. that's why those turds mainly try to apply other countries' statistics to the USA which never have any useful information Come now they are only as mislead as people who think they need to outgun the police.,Aid,Aid
"[But not] all the instruments of Delaware's rapacity take the form of meddlesome, high-handed government exacting inflated costs on out-of-state visitors.",Extractor,Extractor
"Steve B says: July 3, 2013 at 11:07 am West Virginia’s Senator Joe Manchin is a gun control pimp flying under a false flag.",Crime,Victim
0 0 Manifesting Abundance - Are You a Slave to Poverty?,Leader,Degree
"That money that was acquired was already taxed, now you want to punish them again by taxing it again.",Enforcer,Resource
Shutting off the supply of guns to criminals means thwarting the informal circulation of guns among the friends and associates of these men and stemming the supply obtained through theft.,Beneficial,Beneficial
"Mankind's progress commenced with the rule of sole authority of tribal kings, emperors and chiefs; today, after ages of constant and continued struggle, nations and societies have wrenched that sovereign right from their hands and have created a democracy for themselves.",Built,Undesirable Plant
"Instead, the government and media invested their resources in producing and circulating anti-blockade propaganda throughout the New Year season, proclaiming that the blockades were anti-patriotic, punished the poorest, and threatened ""democracy.""",Threatened,Side
Uniform taxation generates this type of Excess Burden through imposing regressive taxes on the poor that lower their productivity and the possibility of participating in the production process according to their potential.,Extractor,Undesirable Plant
Gun control can only fail as it lacks any principle it can use for success.,Loser,Loser
"They will fight for gun rights to their dying breath (just as I would) the entire time screaming liberty while riding a bald eagle, yet are unbelievably anti-weed, anti-porn, and anti-gay.",Side,Side
"It is much worse, actually: they are selling their human dignity to the pimp of government, in exchange for which he gives her a subsistence.",Property,Victim
"The 17 grain bullet is touted as the varmint bullet, and the less destructive, deeper penetrating 20 grain bullet is recommended for small game hunting.",Threat,Wild Animal
"Opportunity Link seeks to unite people, link resources, and fight poverty in eleven North-central Montana counties.",Enemy,Enemy
Following the 2010 Congressional election domination by the Republicans it seemed all but likely that the trend would continue over the next few yeas and Obama would likely be defeated.,Leader,Leader
"People who divert attention from our rights to selling, promoting and glorifying guns are simply doing gun controls work for them.",God,God
Does my industry think guns sell movies?,Business,Business
"When the United States arrives at the ""new level"" of democratic nationhood, the stream drains into a vast democratic ocean in which individual atoms may be vibrating, but no movement, let alone direction, is discernable.",Body of Water,Body of Water
"Nowhere in this question do I say ""wealthy people are a burden to society"".",Barrier,Barrier
"I find it funny that you talk about perverted the second amendment after you have made such idiotic claims that the 2 protects no guns and that owning one gun is sufficient to permanently ""enjoy"" your second amendment rights what credentials does the Matt Talibi have?",Threatened,Threatened
"It is in this way, no less than by its direct interference, that aggregated wealth corrupts government, and helps to make politics a trade.",Threat,Threat
the fact that two of the most anti gun turds in congress are pushing for this ALONE proves what the purpose is. to advance gun control,Goal,Movement
"God help this nation if the Conservatives get a majority, it's clear they'd abuse Canadian democracy even more.",Victim,Victim
"The collapse of the Mobutu dictatorship led to a collision between two forms of opposition to Mobutu, the internal opposition exemplified by Tshisekedi, committed to non-violent direct action, and the armed opposition, based abroad, exemplified by Kabila.",Built,Loser
Or is this a sad case of petulant American middle class malaise â€“ above the drudgery and trials of poverty but below the wanton excess and liberation of wealth?,Change,Punishment
"Emphasizing equality, trust and understanding, the Commonwealth facilitates the advancement of democracy, human rights and sustainable economic and social development within its member countries and beyond.",Change,Movement
"As long as borrow and spend buys the necessary votes that is ""the plan"".",Product,Business
Killing Poverty Has the corruption in Kenya lessened under its new president?,Threatened,Threat
"The Organization for Economic Cooperation and Development recently concluded that the developed world should eliminate ""harmful tax competition"" between states.",Conflict,Enemy/Side
"The abuse of gun rights, aka violent crime, is already illegal and heavily prosecuted.",Victim,Victim
In the mean time who is fighting gun control.,Conflict,Enemy
"This resolution expresses the sense of the House that the President, without undue delay, should transmit to Congress for its consideration proposed legislation, consistent with United States law regarding protection of human rights, to assist the Government of Colombia protect its democracy from United States-designated foreign terrorist organizations and the scourge of illicit narcotics.",Protection,Threatened
This rate is an individual's tax floor.,Level,Destination
"Indeed, the President of Indonesia remarked at that time: ""The primary task of development is to uplift the common people from the abyss of poverty and the principal solution for raising the weak from poverty and destitution is through cooperatives.""",Barrier,Destination
"Our boilerplate lays it out, More ineffective gun control damages our electoral chances and a republic in power causes way more problems than a gun in your or my hands.....",Threat,Threat
"Direct democracy is a very natural way of democracy cultivation, comprehensible and acceptable even for members of primitive societies, and direct participation in the making of public policy overcomes political alienation and apathy.",Beneficial Plant,Farmer/Gardener
Poverty destroys because it is invisible.,Threat,Threat
[171] The court went on to cite Cases approvingly for the following proposition: [T]he claimant of Second Amendment protection must prove that his or her possession of the weapon was reasonably related to a well regulated militia....,Aid,Protection
"As can be seen by the horrendous event in Virginia, ""gun control kills"".",Threat,Enemy
"At the ripe old age of 18, their ""good boy"" has accumulated two armed robbery charges yet they blame others for his actions - obviously he was raised well, but the evil gun made him do bad things.",Threat,Threat
"However, the torture of bureaucracy did not stop the workers from going on strike---they fought for their rights.",Victim,Punished
Gun-control hinders the ability of individuals to defend themselves and makes criminals out of people who aren't criminals.,Barrier,Barrier
"No D.L.P. candidate ever won a seat in the House of Representatives, but the cleavage in Labor's ranks was an important factor in Menzies' subsequent election successes.",Side,Winner
"Warmed by wealth and privilege, they flitted from table to table, nibbled hors d’ouevres, or swept across the dance floor.",Agent,Flowing
"First, it wraps the opposition in the mantle of popular democracy.",Body,Clothing
These actions caused the NRA and gun owners to get political and counterattack the Dem schemes the Dem solution changed to punishing the pro gun groups who funneled lots of money to pro gun (usually GOP) candidates. that is why we conservatives have become more active in defending gun rights-because Dem assholes in office wanted to rape our rights to stave off attacks that Dems are weak on dealing with violent street crime,Threatened,Victim
"NO!!  Much as I like the idea of making a mountain of money writing a ballooning site, I will never make this into a commercial venture.",Scale,Scale
Social Welfare Taxation generates social welfare.,Extractor,Undesirable Plant
Gun Owners of America and others that have come on board to replace the NRA in our national gun rights quest are doing a great service for us.,Agent,Agent
"The Legislature produces good guys and bad guys, idealists and cynics, political sophisticates and political naÑ—fs, but it seldom produces heroes.",Business,Product
"Nowhere in his comments did I see a statement about the importance of a republican form of governments to restrain governments, to protect individual liberties, or to encourage economic prosperity.",Barrier,Threatened
Bad government is a punishment for rebellion in the heart of the people of that nation.,Punishment,Victim
Yet they oppose gun ownership.,Enemy,Side
The problem is that gun control believes it will be safe if it disarms the victims of crime as there is no hope of disarming criminals.,Enforcer,Enforcer
"A trio of civil rights groups and a labor union on Monday filed briefs in a Washington federal appeals court, joining a government battle to regulate UPMC as a federal contractor subject to affirmative action compliance audits.",Conflict,Enemy
"For international tax issues and double taxation relief and for information on your UK tax liabilities, you can visit www.inlandrevenue.gov.uk.",Protection,Protection
CNN exit polls indicated that the economy was rated first (52% of voters) as the most important issue facing the country; gun control scored zero.,Loser,Goal
"Sure, those protectionist tariffs hurt us.",Threat,Threat
"Rather than develop a democracy for all nations in a single global assembly, it might be more appropriate to develop democracy by linking (either among or between) national populations without bringing them together under a single roof, where smaller nations might be overwhelmed by larger ones and prompted to cede their sovereignty.",Built,Built
"Through programs that help governments to strengthen democratic processes, promote equitable economic growth, and improve health and education standards, USAID is helping countries in the region with the will to reform to move along a trajectory toward MCA eligibility.",Built,Built
"...s by Jacques-Louis David (1787) Socrates. Many are familiar with the name, but do we know the man? He is considered to be the father of democracy and a pivotal character of Western civilisation, but it may equally be that he was largely an invention by Plato.",Child,Parent
The reality is that firearm safety has not meaningfully advanced in the past century.,Agent,Change
The purpose of the NRA is to preserve and protect Gun owners and promote the shooting sports.,Protection,Threatened
Voluntary commitment never results in the loss of gun rights.,Threatened,Loser
» You elected nothing since you stole the 2000 and 2004 elections... Posted by: chief of okeefe,Property,Property
If and when gun control roars back to life in 2007-08 — we expect that it will — the data unearthed this week in these lawmakers’ own backyards by reporter Matthew Cella should loom large.,Wild Animal,Torch
"Pressures to attract mobile capital through international ""tax competition"" will continue to increase.",Conflict,Movement
"Does being told from birth, we the people are government, we are the greatest country in the world, democracy is so great, all while the same democracy robs US blind & kills thousands of people with US $, military, in our name while claiming we're liberating them, make sense?",Crime,Victim
"In other words, the better-off are saying that if democracy jeopardizes their net worth, it is expendable.",Threat,Threatened
"To steal the recent rhetoric of insane ultraconservative Sharron Angle, I think we need a Second Amendment remedy.",Protection,Property
"For gays and lesbians who oppose guns on political grounds, or, like me, are big sissies when it comes to handling firearms, there are other options.",Side,Side
"The National Academy of Education recommends two initiatives that should be part of a national effort: (1) State and federal governments should increase investment in early education programs and make oral language development a primary focus of preschool and (2) English language learners should get targeted, conceptually rich language instruction starting in preschool and continuing until students are fully proficient in English.",Resource,Resource
They are never going to fight gun control becasue they ACCEPT gun control as valid.,Side,Side
"Hey gringa, show us PROOF, with statistics that poverty is increasing in Mexico.",Resource,Resource
"Infinite Wealth illuminates our environment, allowing us to clearly see the big picture and how the individual pieces of today's activity fit into a coherent new worldview, thus making sense of today's chaos.",Entity,Flowing
No. I don't believe that wealth oppresses people.,Leader,Leader
"Most other organisation do the same, Sell guns, glorify guns, promote guns, promote sports, training and membership.",God,God
This election will most certainly be the evil of two lessers.,Threat,Threat
The Sad Death of Gun Control,Entity,Threat
"The coalition works for rights of undocumented, to protect civil liberties and, someday, a full integration of immigrants into the American Dream.",Threatened,Threatened
Nothing on this earth is more proof of the utter lie of gun control since gun control claimed each and every one of those laws would be for citizens benefit and safety.,Right,Legit
"Legal scholar Waldman examines the political forces behind that change, including the growing influence of the National Rifle Association and how gun rights play into the culture wars.",Side,Relationship
Guns are a pillar of civilization.,Component,Component
"For through the wine of the wrath of her evil desires all the nations have come to destruction; and the kings of the earth made themselves unclean with her, and the traders of the earth had their wealth increased by the power of her evil ways.",Resource,Resource
"Millennium Challenge Corporation (MCC), a United States government corporation designed to work with some of the poorest countries in the world, is based on the principle that aid is most effective when it reinforces good governance, economic freedom, and investments in people that promote economic growth and elimination of extreme poverty.",Built,Built
The Second Amendment is a beacon of freedom and as such the vast majority of Americans support the private ownership of firearms.,Entity,Flowing
He was encouraged by the blossoming of the flower of democracy in Egypt and hoped there would a new government voted into power in Iran.,Beneficial Plant,Farmer/Gardener
"Democracy is an infection that can take hold in the most historically unlikely of hosts including Japan , Korea, and well.. even Germany.",Threat,Threat
The election threatens to put a nail in New Hampshire's reputation as a home to a flinty form of New England Republicanism focusing on individual freedom and low taxes.,Threat,Threatened
This would remove a mountain of taxation from the shoulders of labor.,Barrier,Level
"And how can a few guns compete against tanks, artillery, air strikes, guided missiles etc.. ? You sound like a far right-wing nut job arguing this line.",Conflict,Side
Johnson said that sales taxes are decreasing and people are being more conservative with spending.,Change,Change
"Meanwhile the pot is calling the kettle black, as Rumsfeld resurfaces, democracy perpetrators scan the world for more oil resources in nations that could use a little liberty, and a new ad campaign has been launched to get send shivers up your ... I can't bring myself to be crass.",Crime,Victim
That is why your VGOC has been working night and day to insure that we not only cut off the gun control branches but start hacking at the root of the problem by making sure the angry new patriots running for office truly understand the realities of political warfare.,Undesirable Plant,Farmer/Gardener
A sound tax policies based upon fairness rather than the exploitation of taxation to reward cronies would do much to restore the dollar in foreign markets.,Servant,Victim
"But Olson's triumph left many in the legal community reeling, as they accused her in published reports of buying the election and targeting",Product,Business
"While ordinary Americans are busy earning a living, taking care of their families and paying their taxes, their hard-earned tax dollars are being used to pay for lobbyists who are fighting for higher taxes and bigger government.",Side,Enemy
To kill democracy in an attempt to save it will be a tragedy.,Threatened,Enemy
"Gun control supported him and every advocate in the world had 43:1 on his lips, firmly believing that firearm owners were in a conspiracy to deny the evidence.",Component,Component
When the crunch comes people who protect guns will not fight because a gun is not worth your life.,Protection,Threatened
"In 1962 -- prior to Lyndon Johnson's War on Poverty -- The ""Gray Areas Project"" was the first attempt to combat poverty across America.",Enemy,Enemy
"By the way... let me tell you just a bit about why I'm so attached to my ""sacred guns"".... 1.",God,God
"Over the past quarter century, the world has witnessed the fall of communism in Eastern Europe, the end of apartheid in South Africa, and the collapse of military dictatorships in Latin America.",Built,Loser
"Guns Lose in Latest Poll : Americans are increasingly fed up with handgun epidemic June 07, 1993",Loser,Loser
"This is how Bush got elected, or appointed.. Stealing votes was all part of the plan.",Crime,Property
Paul Polakfounder of Colorado-based non-profit International Development Enterprises (IDE)is dedicated to developing practical solutions that attack poverty at its roots.,Threatened,Enemy
Guns made by the Glock Company and others produce quite distinctive impressions on cartridge cases.10 Other guns produce useless casing images.,Product,Product
"A general equilibrium model is constructed to study tax competition, where local governments compete for capital by holding down property tax rates and public expenditure levels.",Conflict,Experiment
3. a terroristic method of governing or of resisting a government.,Enemy,Enemy
"If you've been in the gun rights game for a while, this handbook will be the fastest refresher course you've ever taken.",Conflict,Aid
It allows the Wookies to venerate nature and the senators to venerate bureaucracy.,God,God
The Japanese don't share our fanatical devotion and worship of gun ownership.,God,God
"But some pro-gun legislation, including the sweeping ""guns everywhere"" bill that was signed into law earlier this year by Georgia's Republican Gov. Nathan Deal, has advanced in recent months.",Change,Movement
"Karl Rabeder, as reported on AOL News, has decided that wealth compromises the quest for happiness.",Threat,Threatened
I think we might have found the reason Paralogic opposes gun ownership!,Side,Side
"Of course, whomever was responsible for 911 should be brought to justice, as individuals, for isn't the emphasis on individuality supposed to be a tenet of our democracy religion?",God,Worshipper
I don't believe that elections are God.,God,God
"[21] The editorial staffs of magazines such as Guns, Guns and Ammo, and Gun Week inalterably opposed gun control in any form and benefited from heightened interest in gun issues.",Enemy,Enemy/Side
"Optimists hailed a region-wide birth of democracy, as though the Middle East and North Africa were following the path blazed in Eastern Europe during the anti-communist revolutions of 1989.",Entity,Parent
Orville also wrote his wife that he hoped hostilities between nations cease forever and democracy heals the mental scars of war.,Protection,Protection
Bush marketed democracy to the Arab masses as a mouthpiece for the region's moderate silent majorities.,Product,Business
Strengthening American Democracy,Built,Built
"The weed of government must be constantly trimmed back, if not uprooted outright.",Undesirable Plant,Farmer/Gardener
"The question of voting for the ""lesser of two evils"" was addressed, as well as the myth of elections being the zenith of democracy.",Level,Topic
The 1913 income tax produced a degree of chaos because of the haste with which it was introduced and the lack of guidance offered to those preparing returns.,Business,Product
"Poverty sells children for a loaf of bread and locks them up in dark, skanky rooms to be raped 40 times a day by pedophiles as a result of sex trafficking.",Business,Business
The narrative in the media seems to be that gun control actually won the midterms.,Side,Winner
We are not taking your sacred guns away just trying to find away to keep AK-47's and AR-15's out of the hands of crazy fools.,God,God
But even if it did the feminist exploitation of the bureaucracy scarcely justifies a distortion of the law as originally intended.,Servant,Victim
b. Exchange successful experiences and methodologies with a view to strengthen democratic processes in the region.,Built,Built
"They wore T-shirts that said, ""Protect Our Civil Liberties.""",Threatened,Protection
"And by turning local issues into federal responsibilities, Congress robs the taxpayers of 49 states to ""benefit"" the taxpayers of one.",Criminal,Victim
One can expect these factors to diminish in influence as the democracy becomes more transparent and as elections become more competitive.,Conflict,Change Type
Putin understands that the fall of the Soviet Union occurred because it was focused on not losing an arms race instead of winning a wealth race.,Conflict,Loser
It has no other use than as a psychological victory for gun control ratifying and validating gun control.,Winner,Winner
"Then provide drive by comments about ""stooges"" and ""gun cult.""",God,Worshipper
"To him, wealth is a crime.",Crime,Crime
Looks like we are bound to learn the hard way what happens when uncontrollable government burdens its citizens past the breaking point.,Barrier,Barrier
"Institute Notes > What do we mean by ""poverty alleviation?""",Threat,Protection
The sad news is with the exception of very few no firearm organisation is doing anything of the slightest value in fighting gun control.,Enemy,Enemy
The power to create wealth advances the kingdom of God in a very significant way.,Agent,Movement
