Sentence,True,Prediction
"Instead, the government and media invested their resources in producing and circulating anti-blockade propaganda throughout the New Year season, proclaiming that the blockades were anti-patriotic, punished the poorest, and threatened ""democracy.""",Physical Harm,Contamination/Physical Harm
Uniform taxation generates this type of Excess Burden through imposing regressive taxes on the poor that lower their productivity and the possibility of participating in the production process according to their potential.,Energy/Machine,Energy
Gun control can only fail as it lacks any principle it can use for success.,Competition,Competition
"They will fight for gun rights to their dying breath (just as I would) the entire time screaming liberty while riding a bald eagle, yet are unbelievably anti-weed, anti-porn, and anti-gay.",Struggle,Struggle
"It is much worse, actually: they are selling their human dignity to the pimp of government, in exchange for which he gives her a subsistence.",Crime,Resource/Theft
"The 17 grain bullet is touted as the varmint bullet, and the less destructive, deeper penetrating 20 grain bullet is recommended for small game hunting.",Physical Harm,Natural Physical Force
"Opportunity Link seeks to unite people, link resources, and fight poverty in eleven North-central Montana counties.",Struggle,Struggle/War
Following the 2010 Congressional election domination by the Republicans it seemed all but likely that the trend would continue over the next few yeas and Obama would likely be defeated.,Enslavement/Leader,Competition/Game/Struggle
"People who divert attention from our rights to selling, promoting and glorifying guns are simply doing gun controls work for them.",A God,A God
Does my industry think guns sell movies?,Business,Business
"When the United States arrives at the ""new level"" of democratic nationhood, the stream drains into a vast democratic ocean in which individual atoms may be vibrating, but no movement, let alone direction, is discernable.",Body of Water,Body of Water
"Nowhere in this question do I say ""wealthy people are a burden to society"".",Physical Burden,Physical Burden
"I find it funny that you talk about perverted the second amendment after you have made such idiotic claims that the 2 protects no guns and that owning one gun is sufficient to permanently ""enjoy"" your second amendment rights what credentials does the Matt Talibi have?",Protection,A God
"It is in this way, no less than by its direct interference, that aggregated wealth corrupts government, and helps to make politics a trade.",Contamination/Crime,Contamination/Physical Harm
the fact that two of the most anti gun turds in congress are pushing for this ALONE proves what the purpose is. to advance gun control,Forward Movement,Forward Movement
"God help this nation if the Conservatives get a majority, it's clear they'd abuse Canadian democracy even more.",Physical Harm,Crime/Physical Harm
"The collapse of the Mobutu dictatorship led to a collision between two forms of opposition to Mobutu, the internal opposition exemplified by Tshisekedi, committed to non-violent direct action, and the armed opposition, based abroad, exemplified by Kabila.",Building,Downward Movement/Struggle
Or is this a sad case of petulant American middle class malaise â€“ above the drudgery and trials of poverty but below the wanton excess and liberation of wealth?,Confinement,Confinement
"Emphasizing equality, trust and understanding, the Commonwealth facilitates the advancement of democracy, human rights and sustainable economic and social development within its member countries and beyond.",Forward Movement,Forward Movement/Journey
"As long as borrow and spend buys the necessary votes that is ""the plan"".",Business,Business
Killing Poverty Has the corruption in Kenya lessened under its new president?,Physical Harm,Physical Harm
"The Organization for Economic Cooperation and Development recently concluded that the developed world should eliminate ""harmful tax competition"" between states.",Competition,Physical Harm
"The abuse of gun rights, aka violent crime, is already illegal and heavily prosecuted.",Physical Harm,Crime/Physical Harm
In the mean time who is fighting gun control.,Struggle,Struggle/War
"This resolution expresses the sense of the House that the President, without undue delay, should transmit to Congress for its consideration proposed legislation, consistent with United States law regarding protection of human rights, to assist the Government of Colombia protect its democracy from United States-designated foreign terrorist organizations and the scourge of illicit narcotics.",Protection,Physical Harm/Protection
This rate is an individual's tax floor.,Building,Low Location
"Indeed, the President of Indonesia remarked at that time: ""The primary task of development is to uplift the common people from the abyss of poverty and the principal solution for raising the weak from poverty and destitution is through cooperatives.""",Abyss,Hazardous Geographic Feature
"Our boilerplate lays it out, More ineffective gun control damages our electoral chances and a republic in power causes way more problems than a gun in your or my hands.....",Physical Harm,Physical Harm
"Direct democracy is a very natural way of democracy cultivation, comprehensible and acceptable even for members of primitive societies, and direct participation in the making of public policy overcomes political alienation and apathy.",Plant,Crop/Plant
Poverty destroys because it is invisible.,Natural Physical Force/Physical Harm,Natural Physical Force/Physical Harm
[171] The court went on to cite Cases approvingly for the following proposition: [T]he claimant of Second Amendment protection must prove that his or her possession of the weapon was reasonably related to a well regulated militia....,Protection,Protection
"As can be seen by the horrendous event in Virginia, ""gun control kills"".",Crime,Crime/Physical Harm
"At the ripe old age of 18, their ""good boy"" has accumulated two armed robbery charges yet they blame others for his actions - obviously he was raised well, but the evil gun made him do bad things.",Monster,Monster
"However, the torture of bureaucracy did not stop the workers from going on strike---they fought for their rights.",Crime,Crime/Physical Harm
Gun-control hinders the ability of individuals to defend themselves and makes criminals out of people who aren't criminals.,Confinement,Confinement
"No D.L.P. candidate ever won a seat in the House of Representatives, but the cleavage in Labor's ranks was an important factor in Menzies' subsequent election successes.",Competition,Competition/Game/Struggle
"Warmed by wealth and privilege, they flitted from table to table, nibbled hors d’ouevres, or swept across the dance floor.",Temperature,Animal
"First, it wraps the opposition in the mantle of popular democracy.",Clothing,Clothing
These actions caused the NRA and gun owners to get political and counterattack the Dem schemes the Dem solution changed to punishing the pro gun groups who funneled lots of money to pro gun (usually GOP) candidates. that is why we conservatives have become more active in defending gun rights-because Dem assholes in office wanted to rape our rights to stave off attacks that Dems are weak on dealing with violent street crime,Protection/Struggle,Crime/Physical Harm
"NO!!  Much as I like the idea of making a mountain of money writing a ballooning site, I will never make this into a commercial venture.",Hazardous Geographic Feature,Hazardous Geographic Feature
Social Welfare Taxation generates social welfare.,Energy/Machine,Energy/Machine
Gun Owners of America and others that have come on board to replace the NRA in our national gun rights quest are doing a great service for us.,Journey,Journey
"The Legislature produces good guys and bad guys, idealists and cynics, political sophisticates and political naÑ—fs, but it seldom produces heroes.",Crop/Factory,Factory
"Nowhere in his comments did I see a statement about the importance of a republican form of governments to restrain governments, to protect individual liberties, or to encourage economic prosperity.",Physical Harm,Confinement/Struggle
Bad government is a punishment for rebellion in the heart of the people of that nation.,Crime,Emotion Experiencer/Monster
Yet they oppose gun ownership.,Struggle,Struggle
The problem is that gun control believes it will be safe if it disarms the victims of crime as there is no hope of disarming criminals.,A Right,Emotion Experiencer
"A trio of civil rights groups and a labor union on Monday filed briefs in a Washington federal appeals court, joining a government battle to regulate UPMC as a federal contractor subject to affirmative action compliance audits.",War,War
"For international tax issues and double taxation relief and for information on your UK tax liabilities, you can visit www.inlandrevenue.gov.uk.",Disease/Emotion Experiencer,Disease/Physical Burden
CNN exit polls indicated that the economy was rated first (52% of voters) as the most important issue facing the country; gun control scored zero.,Competition/Game,Game
"Sure, those protectionist tariffs hurt us.",Physical Harm,Physical Harm
"Rather than develop a democracy for all nations in a single global assembly, it might be more appropriate to develop democracy by linking (either among or between) national populations without bringing them together under a single roof, where smaller nations might be overwhelmed by larger ones and prompted to cede their sovereignty.",Resource,Resource
"Through programs that help governments to strengthen democratic processes, promote equitable economic growth, and improve health and education standards, USAID is helping countries in the region with the will to reform to move along a trajectory toward MCA eligibility.",Building/Strength,Building/Strength
"...s by Jacques-Louis David (1787) Socrates. Many are familiar with the name, but do we know the man? He is considered to be the father of democracy and a pivotal character of Western civilisation, but it may equally be that he was largely an invention by Plato.",Family,Family
The reality is that firearm safety has not meaningfully advanced in the past century.,Forward Movement,Forward Movement
The purpose of the NRA is to preserve and protect Gun owners and promote the shooting sports.,Protection,Protection
Voluntary commitment never results in the loss of gun rights.,Competition,Competition
» You elected nothing since you stole the 2000 and 2004 elections... Posted by: chief of okeefe,Theft,Resource/Theft
If and when gun control roars back to life in 2007-08 — we expect that it will — the data unearthed this week in these lawmakers’ own backyards by reporter Matthew Cella should loom large.,Animal,Animal
"Pressures to attract mobile capital through international ""tax competition"" will continue to increase.",Competition,Crop
"Does being told from birth, we the people are government, we are the greatest country in the world, democracy is so great, all while the same democracy robs US blind & kills thousands of people with US $, military, in our name while claiming we're liberating them, make sense?",Crime/Theft,Crime/Theft
"In other words, the better-off are saying that if democracy jeopardizes their net worth, it is expendable.",Physical Harm,Contamination/Physical Harm
"To steal the recent rhetoric of insane ultraconservative Sharron Angle, I think we need a Second Amendment remedy.",Medicine,Theft
"For gays and lesbians who oppose guns on political grounds, or, like me, are big sissies when it comes to handling firearms, there are other options.",Struggle,Struggle
"The National Academy of Education recommends two initiatives that should be part of a national effort: (1) State and federal governments should increase investment in early education programs and make oral language development a primary focus of preschool and (2) English language learners should get targeted, conceptually rich language instruction starting in preschool and continuing until students are fully proficient in English.",Upward Movement/Movement,Science
They are never going to fight gun control becasue they ACCEPT gun control as valid.,Struggle,Struggle
"Hey gringa, show us PROOF, with statistics that poverty is increasing in Mexico.",Upward Movement,Forward Movement
"Infinite Wealth illuminates our environment, allowing us to clearly see the big picture and how the individual pieces of today's activity fit into a coherent new worldview, thus making sense of today's chaos.",Light,Light
No. I don't believe that wealth oppresses people.,Enslavement,Enslavement/Crime
"Most other organisation do the same, Sell guns, glorify guns, promote guns, promote sports, training and membership.",A God,A God
This election will most certainly be the evil of two lessers.,Monster,Emotion Experiencer/Monster
The Sad Death of Gun Control,Life Stage,Life Stage
"The coalition works for rights of undocumented, to protect civil liberties and, someday, a full integration of immigrants into the American Dream.",Protection,Protection
Nothing on this earth is more proof of the utter lie of gun control since gun control claimed each and every one of those laws would be for citizens benefit and safety.,Crime,A God/Story
"Legal scholar Waldman examines the political forces behind that change, including the growing influence of the National Rifle Association and how gun rights play into the culture wars.",Game,Game
Guns are a pillar of civilization.,Building,Building/Science
"For through the wine of the wrath of her evil desires all the nations have come to destruction; and the kings of the earth made themselves unclean with her, and the traders of the earth had their wealth increased by the power of her evil ways.",Upward Movement,Parasite
"Millennium Challenge Corporation (MCC), a United States government corporation designed to work with some of the poorest countries in the world, is based on the principle that aid is most effective when it reinforces good governance, economic freedom, and investments in people that promote economic growth and elimination of extreme poverty.",Building/Strength,Building
The Second Amendment is a beacon of freedom and as such the vast majority of Americans support the private ownership of firearms.,Light,Fire/Light
He was encouraged by the blossoming of the flower of democracy in Egypt and hoped there would a new government voted into power in Iran.,Plant,Plant
"Democracy is an infection that can take hold in the most historically unlikely of hosts including Japan , Korea, and well.. even Germany.",Disease,Disease/Medicine
The election threatens to put a nail in New Hampshire's reputation as a home to a flinty form of New England Republicanism focusing on individual freedom and low taxes.,Physical Harm,Natural Physical Force
This would remove a mountain of taxation from the shoulders of labor.,Hazardous Geographic Feature,Hazardous Geographic Feature
"And how can a few guns compete against tanks, artillery, air strikes, guided missiles etc.. ? You sound like a far right-wing nut job arguing this line.",Competition,Competition
Johnson said that sales taxes are decreasing and people are being more conservative with spending.,Downward Movement,Downward Movement
"Meanwhile the pot is calling the kettle black, as Rumsfeld resurfaces, democracy perpetrators scan the world for more oil resources in nations that could use a little liberty, and a new ad campaign has been launched to get send shivers up your ... I can't bring myself to be crass.",Crime,Science
That is why your VGOC has been working night and day to insure that we not only cut off the gun control branches but start hacking at the root of the problem by making sure the angry new patriots running for office truly understand the realities of political warfare.,Plant,Plant
A sound tax policies based upon fairness rather than the exploitation of taxation to reward cronies would do much to restore the dollar in foreign markets.,Resource,Servant
"But Olson's triumph left many in the legal community reeling, as they accused her in published reports of buying the election and targeting",Resource,Business
"While ordinary Americans are busy earning a living, taking care of their families and paying their taxes, their hard-earned tax dollars are being used to pay for lobbyists who are fighting for higher taxes and bigger government.",Struggle/War,Struggle/War
To kill democracy in an attempt to save it will be a tragedy.,Crime/Physical Harm,Physical Harm/War
"Gun control supported him and every advocate in the world had 43:1 on his lips, firmly believing that firearm owners were in a conspiracy to deny the evidence.",Building,Emotion Experiencer
When the crunch comes people who protect guns will not fight because a gun is not worth your life.,Protection,Protection
"In 1962 -- prior to Lyndon Johnson's War on Poverty -- The ""Gray Areas Project"" was the first attempt to combat poverty across America.",War,War
"By the way... let me tell you just a bit about why I'm so attached to my ""sacred guns"".... 1.",A God,A God
"Over the past quarter century, the world has witnessed the fall of communism in Eastern Europe, the end of apartheid in South Africa, and the collapse of military dictatorships in Latin America.",Building/Natural Physical Force,Abyss/Downward Movement
"Guns Lose in Latest Poll : Americans are increasingly fed up with handgun epidemic June 07, 1993",Competition,Downward Movement/Struggle
"This is how Bush got elected, or appointed.. Stealing votes was all part of the plan.",Crime/Theft,Theft
Paul Polakfounder of Colorado-based non-profit International Development Enterprises (IDE)is dedicated to developing practical solutions that attack poverty at its roots.,Struggle/War,Struggle/War
Guns made by the Glock Company and others produce quite distinctive impressions on cartridge cases.10 Other guns produce useless casing images.,Factory,Factory
"A general equilibrium model is constructed to study tax competition, where local governments compete for capital by holding down property tax rates and public expenditure levels.",Competition,Competition
3. a terroristic method of governing or of resisting a government.,Struggle,Struggle/War
"If you've been in the gun rights game for a while, this handbook will be the fastest refresher course you've ever taken.",Game,Game
It allows the Wookies to venerate nature and the senators to venerate bureaucracy.,A God,A God
The Japanese don't share our fanatical devotion and worship of gun ownership.,A God,A God
"But some pro-gun legislation, including the sweeping ""guns everywhere"" bill that was signed into law earlier this year by Georgia's Republican Gov. Nathan Deal, has advanced in recent months.",Forward Movement,Forward Movement/Journey
"Karl Rabeder, as reported on AOL News, has decided that wealth compromises the quest for happiness.",Struggle,Contamination
I think we might have found the reason Paralogic opposes gun ownership!,Competition/Struggle,Struggle
"Of course, whomever was responsible for 911 should be brought to justice, as individuals, for isn't the emphasis on individuality supposed to be a tenet of our democracy religion?",A God,A God
I don't believe that elections are God.,A God,A God
"[21] The editorial staffs of magazines such as Guns, Guns and Ammo, and Gun Week inalterably opposed gun control in any form and benefited from heightened interest in gun issues.",Struggle,Struggle
"Optimists hailed a region-wide birth of democracy, as though the Middle East and North Africa were following the path blazed in Eastern Europe during the anti-communist revolutions of 1989.",Life Stage,Life Stage
